sensitivity_gamma,mean_interval_width,oracle_coverage,true_propensity_estimate_coverage,mean_point_error,median_required_rowwise_gamma
1,0.0,0.0,0.0,0.00714036348720135,37.12547010221844
1.25,0.028695227494640492,1.0,0.9375,0.00714036348720135,37.12547010221844
1.5,0.05313931017526019,1.0,1.0,0.00714036348720135,37.12547010221844
2,0.09565075831546835,1.0,1.0,0.00714036348720135,37.12547010221844
3,0.17004579256083258,1.0,1.0,0.00714036348720135,37.12547010221844
5,0.30608242660949864,1.0,1.0,0.00714036348720135,37.12547010221844
10,0.6312950048820911,1.0,1.0,0.00714036348720135,37.12547010221844
