blocklength,scheme,goodput_bits_per_use,nack_rate,mean_mcs_index,mean_predicted_true_bler,final_olla_offset_db
80,Open-loop,1.1430833333333332,0.38308333333333333,2.0166666666666666,0.3831317867200183,0.0
80,FBL-aware,1.33,0.22125,1.8245833333333332,0.22312596312822422,0.0
80,FBL+OLLA,1.301875,0.011,1.24075,0.011331385444258359,2.181818181816842
120,Open-loop,1.1226666666666667,0.39108333333333334,2.0166666666666666,0.3904581176823393,0.0
120,FBL-aware,1.2680416666666667,0.2673333333333333,1.8755833333333334,0.2662088962623142,0.0
120,FBL+OLLA,1.3084583333333333,0.011166666666666667,1.2515833333333333,0.010591004646013168,2.545454545453136
200,Open-loop,1.105125,0.39775,2.0166666666666666,0.39748869105777657,0.0
200,FBL-aware,1.2008333333333334,0.31583333333333335,1.9280833333333334,0.3152060066926437,0.0
200,FBL+OLLA,1.3246666666666667,0.01125,1.2738333333333334,0.011261252712179187,2.7272727272713118
400,Open-loop,1.089875,0.40391666666666665,2.0166666666666666,0.4037958422411895,0.0
400,FBL-aware,1.125125,0.36716666666666664,1.9784166666666667,0.3671309647096914,0.0
400,FBL+OLLA,1.3269166666666667,0.011333333333333334,1.27375,0.010966986683363175,2.9090909090894894
800,Open-loop,1.0760416666666666,0.41,2.0166666666666666,0.40750592167101995,0.0
800,FBL-aware,1.0954583333333334,0.39016666666666666,1.9964166666666667,0.3877462192017941,0.0
800,FBL+OLLA,1.3316666666666668,0.011416666666666667,1.2750833333333333,0.01090624529081371,3.0909090909076666
