byzantine_fraction,strategy,median_final_loss,mean_accept_fraction
0,naive_mean,0.020617785674076013,1.0
0,median,0.020673602850586746,1.0
0,stale_robust,0.020666859015072498,0.8701587301587302
0.07,naive_mean,0.022909423609736468,1.0
0.07,median,0.020655210119906255,1.0
0.07,stale_robust,0.020753521818444132,0.8604761904761904
0.13,naive_mean,2.0967446787201247,1.0
0.13,median,0.02074966040971065,1.0
0.13,stale_robust,0.02125316312551556,0.8446031746031746
0.2,naive_mean,199.84780792986408,1.0
0.2,median,0.02084735682673987,1.0
0.2,stale_robust,0.021813592534866123,0.8150793650793651
0.27,naive_mean,2572.9082588692468,1.0
0.27,median,0.021092658478192316,1.0
0.27,stale_robust,0.02243903314192197,0.7685714285714285
