budget_per_task,policy,deadline_miss_rate,task_weighted_deadline_miss_rate,mean_transmissions_per_task,replica_execution_rate,proactive_migration_rate,resilience_credits_per_task
0.2,risk_budget_unweighted,0.19111111111111112,0.19466040061858694,1.2762499999999999,0.0008333333333333334,0.0,0.19981666666667006
0.2,risk_budget,0.19125,0.1947403539258555,1.2762499999999999,0.0008333333333333334,0.0,0.19981666666667006
0.3,risk_budget_unweighted,0.17375,0.16900860943709192,1.4111111111111112,0.0034722222222222225,0.0,0.2998194444444516
0.3,risk_budget,0.17777777777777778,0.17482972945820227,1.4133333333333333,0.0020833333333333333,0.0,0.2998916666666738
0.4,risk_budget_unweighted,0.1547222222222222,0.15471793111537302,1.545,0.006805555555555557,0.0,0.399886111111122
0.4,risk_budget,0.15208333333333335,0.1528238365867667,1.545972222222222,0.006111111111111111,0.0,0.3998222222222331
0.5,risk_budget_unweighted,0.14722222222222223,0.14816530518432167,1.6529166666666668,0.026944444444444448,0.0,0.4997388888889028
0.5,risk_budget,0.14722222222222223,0.14462718199720861,1.6524999999999999,0.02722222222222222,0.0,0.4997444444444583
0.6,risk_budget_unweighted,0.1223611111111111,0.12386501075633823,1.7606944444444446,0.04736111111111111,0.0,0.5997972222222386
0.6,risk_budget,0.1252777777777778,0.12264533874790536,1.7602777777777778,0.04763888888888889,0.0,0.599802777777794
0.8,risk_budget_unweighted,0.09680555555555555,0.09560876074347403,1.8906944444444445,0.13833333333333334,0.003472222222222222,0.7997166666666827
0.8,risk_budget,0.10069444444444443,0.09981004932167857,1.8925,0.13791666666666666,0.0030555555555555557,0.7998083333333494
