arrival_rate,policy,embb_throughput,urllc_deadline_miss,wasted_reserved,mean_urllc_delay
0.1,reserved,53.88249975545584,0.0,0.9505,1.0067681895093064
0.1,adaptive_reserve,68.67804595803369,1.0,1.0,nan
0.1,preemptive,70.95836229759962,0.0,0.0,1.0050761421319796
0.35,reserved,54.08575808360971,0.0004757373929590866,0.82425,1.0180866254164684
0.35,adaptive_reserve,66.65916223685413,0.8613345953620445,0.9195015462979808,1.6928327645051195
0.35,preemptive,68.85805102916237,0.0,0.0,1.0037914691943128
0.6,reserved,54.119712532932,0.000827357970215113,0.6964166666666667,1.0510626552580735
0.6,adaptive_reserve,63.80084699416922,0.32158590308370044,0.5518987341772152,1.5239448051948052
0.6,preemptive,66.75224304554196,0.0,0.0,1.005255878284924
0.85,reserved,54.058069668977396,0.004065827686350436,0.5685,1.1133359253499222
0.85,adaptive_reserve,60.787514404697575,0.18591334224088565,0.4303126656067833,1.5005861664712778
0.85,preemptive,64.24131747140419,0.0,0.0,1.0067855758045754
1.1,reserved,54.02280812957473,0.012128751360597108,0.4671666666666667,1.179442782937195
1.1,adaptive_reserve,58.63389440520537,0.1870525988173047,0.41852999778614125,1.5417304747320062
1.1,preemptive,62.33238145977321,0.00015441630636195183,0.0,1.0066409266409266
1.35,reserved,54.04691487506227,0.033953997809419496,0.33491666666666664,1.2781557067271352
1.35,adaptive_reserve,55.23102346047901,0.12663648599045638,0.3608281106127662,1.4991594284113197
1.35,preemptive,59.59534957167882,0.00012172854534388314,0.0,1.0054784514243973
1.6,reserved,54.10868016017545,0.06582561806897955,0.23091666666666666,1.3690917011544326
1.6,adaptive_reserve,52.117715682725134,0.08192378235174241,0.3172559472916562,1.4263041065482798
1.6,preemptive,57.17544036694693,0.00010156408693885842,0.0,1.0051802945657695
1.85,reserved,53.91285138464551,0.11121028204212781,0.166,1.4577224342237398
1.85,adaptive_reserve,49.468527430269496,0.07118613790639514,0.3025490457760577,1.427829598999904
1.85,preemptive,55.17909534441108,0.0,0.0,1.0046428571428572
2.1,reserved,54.01315191763349,0.15204585257124661,0.10766666666666666,1.561115283514833
2.1,adaptive_reserve,46.969893437434784,0.05645225411465373,0.28694212898336857,1.4230218252296283
2.1,preemptive,53.27750383957447,7.992966189753018e-05,0.0,1.0051159072741807
