straggler_probability,scheme,mean_latency_ms,p95_latency_ms,p99_latency_ms,compute_load_ratio
0,uncoded,40.564570434423175,68.33081720216583,88.25166459353946,1.0
0,mds2,24.3294251506557,36.75996153194239,43.71180055759004,1.1666666666666667
0,mds4,18.907512234223468,27.6346224098725,32.615141406795004,1.3333333333333333
0,mds8,13.874979039214923,19.596127802336404,22.824437047676938,1.6666666666666667
0,replication,21.97654494976183,36.116248179645105,46.155529934935124,2.0
0.05,uncoded,70.36222988800897,198.28066007127285,312.8491960181101,1.0
0.05,mds2,28.028843063253124,46.38603583803926,66.10756017260915,1.1666666666666667
0.05,mds4,20.64508936075988,31.25156116865638,38.42909796207502,1.3333333333333333
0.05,mds8,14.7477501428193,21.1993117451803,24.87166965569249,1.6666666666666667
0.05,replication,25.003958983310504,44.41792075393715,68.75914763761938,2.0
0.1,uncoded,94.9116631012033,247.83048288291084,371.3624464104118,1.0
0.1,mds2,33.36860425596452,64.15948323742134,101.69692465250644,1.1666666666666667
0.1,mds4,22.8936755877175,36.535027584378135,47.070521247814476,1.3333333333333333
0.1,mds8,15.771217795231703,23.285071638066327,27.677977554336596,1.6666666666666667
0.1,replication,29.469015985487133,60.00941609459581,109.65822927538316,2.0
0.15,uncoded,114.5897009047177,276.01263571954195,406.2250735956502,1.0
0.15,mds2,40.37844582017539,87.18926985957918,129.59041681770603,1.1666666666666667
0.15,mds4,25.85121892631346,43.66137669455894,63.14661468775002,1.3333333333333333
0.15,mds8,17.01421942494247,25.802471298134783,31.360455384850535,1.6666666666666667
0.15,replication,34.95472328313103,82.24270806029655,141.2824065119829,2.0
0.2,uncoded,130.86291452825432,296.5807554847999,422.49756313632116,1.0
0.2,mds2,48.20502763988708,106.86881964565775,148.78856068622753,1.1666666666666667
0.2,mds4,29.646582910476816,54.38414522349506,81.63755982464596,1.3333333333333333
0.2,mds8,18.55659559165525,29.033414034298403,36.94451511989635,1.6666666666666667
0.2,replication,41.185320056594634,102.1299172440317,161.01574371945605,2.0
0.3,uncoded,157.217762927007,325.87080457246725,443.22020553781584,1.0
0.3,mds2,65.43124012190837,135.5543856506227,174.7861919871818,1.1666666666666667
0.3,mds4,39.66116537718961,79.52613807045753,109.67250634047102,1.3333333333333333
0.3,mds8,22.759058660371622,38.828388782312835,51.89470823078344,1.6666666666666667
0.3,replication,55.14131147020911,132.18150694562885,189.4185485844182,2.0
