radio_correlation,task_weighted_deadline_miss_rate,mean_latency_ms,duplicate_action_rate,replicate_action_rate,migrate_action_rate,mean_transmissions_per_task,resilience_credits_per_task
0,0.11662253542126304,38.23810328653648,0.9693055555555556,0.019583333333333335,0.0002777777777777778,1.9693055555555556,0.7199416666666885
0.2,0.1360773146447996,40.286066390942615,0.9659722222222222,0.021527777777777774,0.0004166666666666667,1.9659722222222225,0.7199305555555772
0.4,0.16810354549351603,43.448935682054326,0.9555555555555556,0.02847222222222222,0.0002777777777777778,1.9555555555555555,0.7198194444444659
0.6,0.18608202659934162,44.2684981948766,0.9365277777777777,0.04013888888888889,0.0008333333333333334,1.9365277777777778,0.7199527777777983
0.8,0.19808009483163982,45.93010053522056,0.8763888888888888,0.07944444444444444,0.0008333333333333334,1.8763888888888889,0.7198888888889069
0.95,0.21885746433610379,48.19245928472376,0.6520833333333335,0.2225,0.0030555555555555557,1.6520833333333336,0.7197500000000089
