rho,zf_ber,mmse_ber,mean_capacity_bphz,median_condition_number,p90_condition_number
0,0.028675,0.019175,6.593821548257475,2.9315116123990426,7.540972749446667
0.3,0.034716666666666667,0.023425,6.3923720350851925,3.2613888719248925,8.459702878398444
0.6,0.06195833333333333,0.038316666666666666,5.8297332333635055,4.669598185895227,12.917436734392986
0.8,0.13760833333333333,0.07718333333333334,5.165181579718767,8.172618412022532,24.653765128101195
0.9,0.247025,0.13278333333333334,4.725023196621892,15.15212035527837,48.13830137306409
0.95,0.34570833333333334,0.17915,4.5176444653842305,28.96921489607298,95.69693221227342
