privacy_noise,adc_bits,median_mse,p90_mse,pa_clip_fraction
0,3,0.0003587843283628528,0.002052443343188557,0.0
0,4,0.0002720151755670482,0.0017876468045544519,0.0
0,6,0.00025814627711554124,0.00176937140396385,0.0
0,8,0.0002609718354405421,0.0017719466166536296,0.0
0.1,3,0.0010850916239079247,0.003034886832502105,0.0
0.1,4,0.0009804320539842737,0.002806798532197082,0.0
0.1,6,0.0009510079736140891,0.002774144083200519,0.0
0.1,8,0.0009456710101289714,0.0027672664299199234,0.0
0.25,3,0.004733097254101196,0.006907424547888394,7.233796296296296e-06
0.25,4,0.00450684579871184,0.0064768509917592365,7.233796296296296e-06
0.25,6,0.004435375767361762,0.006149574270342101,7.233796296296296e-06
0.25,8,0.004418996877039297,0.00615524184391262,7.233796296296296e-06
0.5,3,0.017253140952192547,0.02234877132169928,0.0003544560185185186
0.5,4,0.016422016132560766,0.02130528408794911,0.0003544560185185186
0.5,6,0.016272020546422985,0.02089608974656143,0.0003544560185185186
0.5,8,0.016186346970439962,0.02077618954575502,0.0003544560185185186
0.75,3,0.03786967906760594,0.04806870505400072,0.0044921875
0.75,4,0.03625209645436542,0.046155402799700415,0.0044921875
0.75,6,0.03581437103426541,0.04526072120496725,0.0044921875
0.75,8,0.03574392794776175,0.045480274580359095,0.0044921875
