elements,scheme,mean_rate,mean_power_gain
4,random,0.6481229481142246,0.0662209148772606
4,1-bit,0.8360154137490375,0.09001516087915527
4,2-bit,0.916415036948131,0.10125612409098803
4,3-bit,0.9375360607752704,0.10431444788732315
4,continuous,0.9450522192113792,0.10544186565961851
8,random,0.6731938311595471,0.07054546695296607
8,1-bit,1.0735896936848732,0.12605978135481094
8,2-bit,1.242558275834869,0.15463871076008145
8,3-bit,1.2890903730166943,0.16306912643961932
8,continuous,1.3048306069988105,0.1660226859189854
16,random,0.718098117935759,0.07642722550685305
16,1-bit,1.49482550284376,0.2013902983938186
16,2-bit,1.8113792539445688,0.27412798108110537
16,3-bit,1.8964135157173638,0.2966823258795635
16,continuous,1.9257469060580223,0.30477818227087594
32,random,0.7231481928493604,0.07848825420347114
32,1-bit,2.2718543606603396,0.4092566440989161
32,2-bit,2.818689646525474,0.6369504919192992
32,3-bit,2.959744396469475,0.7114284818045807
32,continuous,3.0066270563853297,0.7379648727110631
64,random,0.8852979635719413,0.10367136568908872
64,1-bit,3.513825288328452,1.0872471124731318
64,2-bit,4.2528977273389215,1.8593392925899606
64,3-bit,4.431974591094615,2.1161134690733565
64,continuous,4.491305793694089,2.208341838387154
128,random,1.0519291734421063,0.13514267050358708
128,1-bit,5.095252542993981,3.378483413871175
128,2-bit,5.9686740036502135,6.239515327905503
128,3-bit,6.17000867412674,7.184189713322827
128,continuous,6.236934040304025,7.5292491162449915
