ris_objective,weakest_gain,sum_channel_power,aircomp_median_mse,fl_final_loss,fl_parameter_error
random,0.07966471164747548,0.6392034367794399,0.08341321147055222,0.020887496578590733,0.053888755375906636
sumgain,0.14590725995800505,1.826344652000322,0.02491182108464042,0.01971085069849617,0.03010758801154197
maxmin,0.2260740095277203,0.941355325517223,0.010613620512621404,0.019419177210322675,0.022061628672263533
