block,drift_fraction,pa_only_evm_pct,static_dpd_evm_pct,adaptive_ewls_dpd_evm_pct
0,0.0,10.709102537085071,0.8491159610923612,0.8491159610923612
1,0.058823529411764705,10.91301023184594,0.8831469959984366,0.8428980432993364
2,0.11764705882352941,10.991441125008325,0.9673326735922727,0.8515986942314806
3,0.17647058823529413,11.22704995805133,1.1465742889648165,0.9299920502256109
4,0.23529411764705882,11.364036758219166,1.2999416562499007,0.9557689607830757
5,0.29411764705882354,11.434344876407724,1.4408034245125645,1.3854808669543668
6,0.35294117647058826,11.590050262840508,1.6310639976465788,1.236651097636872
7,0.4117647058823529,11.707723229601157,1.768528597959864,1.097703312971392
8,0.47058823529411764,11.993039749808638,2.0397509005875474,1.3129546082784553
9,0.5294117647058824,12.046854270777086,2.166907429137944,1.2149105440422545
10,0.5882352941176471,12.294212420406586,2.452438361503377,1.2919600348771239
11,0.6470588235294118,12.402871043074125,2.5575358094141407,1.273331404865418
12,0.7058823529411765,12.469924787916128,2.834038150273138,1.4222332434701062
13,0.7647058823529411,12.722778501927074,2.960106788340651,1.3882587425383628
14,0.8235294117647058,12.752277109503565,3.060335154954058,1.4072962351297393
15,0.8823529411764706,12.987862250738091,3.402686516474349,2.0050395223248074
16,0.9411764705882353,13.14530572140308,3.5355719306898257,1.5314235990534888
17,1.0,13.43669578067879,4.039866760374094,2.2719091413725834
