harvest_scale,policy,mean_aoi,p95_aoi,delivery_rate,energy_outage
0.08,max_age,21.434171428571428,77.0,0.32457142857142857,0.6111428571428571
0.08,max_snr,21.902742857142858,79.0,0.32885714285714285,0.6111428571428571
0.08,age_reliability,20.503028571428572,72.0,0.33314285714285713,0.6111428571428571
0.08,energy_aware,20.503028571428572,72.0,0.33314285714285713,0.6111428571428571
0.16142857142857142,max_age,10.099085714285714,38.0,0.6571428571428571,0.21285714285714286
0.16142857142857142,max_snr,9.406457142857143,33.0,0.6894285714285714,0.21114285714285713
0.16142857142857142,age_reliability,7.637028571428571,25.0,0.7108571428571429,0.208
0.16142857142857142,energy_aware,7.581142857142857,24.0,0.712,0.208
0.24285714285714288,max_age,6.216857142857143,21.0,0.8048571428571428,0.007142857142857143
0.24285714285714288,max_snr,8.701257142857143,32.0,0.95,0.011428571428571429
0.24285714285714288,age_reliability,4.093142857142857,11.0,0.9622857142857143,0.006571428571428572
0.24285714285714288,energy_aware,3.922742857142857,10.0,0.9657142857142857,0.004285714285714286
0.3242857142857143,max_age,5.022057142857143,15.0,0.7814285714285715,0.0
0.3242857142857143,max_snr,16.326457142857144,78.0,0.9962857142857143,0.0
0.3242857142857143,age_reliability,3.379257142857143,7.0,0.9751428571428571,0.0
0.3242857142857143,energy_aware,3.365428571428571,7.0,0.9771428571428571,0.0
0.40571428571428575,max_age,4.9264,13.0,0.7542857142857143,0.0
0.40571428571428575,max_snr,24.584114285714286,126.0,0.9988571428571429,0.0
0.40571428571428575,age_reliability,3.320742857142857,7.0,0.9817142857142858,0.0
0.40571428571428575,energy_aware,3.326057142857143,7.0,0.9802857142857143,0.0
0.48714285714285716,max_age,4.574342857142857,10.0,0.7302857142857143,0.0
0.48714285714285716,max_snr,34.50474285714286,177.0,0.9997142857142857,0.0
0.48714285714285716,age_reliability,3.3206857142857142,7.0,0.9768571428571429,0.0
0.48714285714285716,energy_aware,3.317028571428571,7.0,0.9785714285714285,0.0
0.5685714285714286,max_age,4.362914285714286,9.0,0.7234285714285714,0.0
0.5685714285714286,max_snr,46.548114285714284,234.0,1.0,0.0
0.5685714285714286,age_reliability,3.3177714285714286,7.0,0.9788571428571429,0.0
0.5685714285714286,energy_aware,3.3318285714285714,7.0,0.9768571428571429,0.0
0.65,max_age,4.401428571428571,9.0,0.7065714285714285,0.0
0.65,max_snr,57.97371428571429,335.0,0.9997142857142857,0.0
0.65,age_reliability,3.305142857142857,7.0,0.9791428571428571,0.0
0.65,energy_aware,3.305142857142857,7.0,0.98,0.0
