scheme,mean_user_rate,mean_5pct_user_rate,mean_jain,mean_ap_user_links
Nearest AP,1.7716611000887736,0.34452951921197694,0.5884909903094591,8.0
UC-4,2.1023320944495842,0.9364904113287637,0.766058697089701,32.0
UC-8,2.144190948205253,1.1374198673024352,0.8260458967980431,64.0
Cell-free,2.1539348411834123,1.2783566666725907,0.8743806977823096,192.0
