link_correlation,policy,packet_outage_rate,packet_delivery_rate,transmissions_per_packet,duplication_rate,mean_success_latency_ms,p95_success_latency_ms
0,single,0.6663444444444446,0.3336555555555555,1.0,0.0,15.970935062753815,27.079435397942405
0,full_duplicate,0.45075000000000004,0.54925,2.0,1.0,14.706166413986377,23.05578992177579
0,adaptive,0.4882222222222222,0.5117777777777778,1.7296500000000001,0.7296500000000001,14.476678438046829,21.60494576035005
0.2,single,0.6658111111111111,0.33418888888888887,1.0,0.0,15.9639930558078,27.031454308738272
0.2,full_duplicate,0.4835111111111111,0.5164888888888889,2.0,1.0,14.647065310624091,22.958399947492246
0.2,adaptive,0.51395,0.48605,1.7296500000000001,0.7296500000000001,14.469401875134196,21.687165514574808
0.4,single,0.6663555555555556,0.3336444444444444,1.0,0.0,15.985168508680832,27.178838311050725
0.4,full_duplicate,0.5169944444444444,0.4830055555555556,2.0,1.0,14.602089365063268,22.936391096442488
0.4,adaptive,0.5405388888888888,0.4594611111111112,1.7296500000000001,0.7296500000000001,14.489048556803805,21.887853060630043
0.6,single,0.6669555555555556,0.3330444444444445,1.0,0.0,15.972050595078287,27.15775907749557
0.6,full_duplicate,0.55045,0.44955,2.0,1.0,14.529822368007846,22.82018858142711
0.6,adaptive,0.5673166666666667,0.4326833333333333,1.7296500000000001,0.7296500000000001,14.475405979246792,21.978785001530483
0.8,single,0.6660277777777778,0.3339722222222222,1.0,0.0,15.96206358581064,27.11726729439024
0.8,full_duplicate,0.5838,0.4162,2.0,1.0,14.448437800770908,22.68544410660423
0.8,adaptive,0.5931666666666666,0.4068333333333333,1.7296500000000001,0.7296500000000001,14.46849743535886,22.17692711873324
0.95,single,0.6660944444444443,0.33390555555555557,1.0,0.0,15.959908491139307,27.06262223466071
0.95,full_duplicate,0.60865,0.39135,2.0,1.0,14.390005474718185,22.572653492044687
0.95,adaptive,0.6130222222222222,0.38697777777777775,1.7296500000000001,0.7296500000000001,14.459618338074558,22.35802046559188
