ebn0_db,errors,bits,ber,ci95_low,ci95_high,theory
0,1562,20000,0.0781,0.07446171427363617,0.08190032575050492,0.07864960352514258
2,786,20000,0.0393,0.036694357732728444,0.04208258428936636,0.03750612835892598
4,492,40000,0.0123,0.0112657217292553,0.013427943248833419,0.01250081804073755
6,258,120000,0.00215,0.0019033916178149619,0.0024284818664107714,0.002388290780932807
8,253,1420000,0.00017816901408450705,0.0001575272167638211,0.0002015150927956487,0.00019090777407599314
10,10,4000000,2.5e-06,1.3579970722913214e-06,4.602361908763815e-06,3.872108215522035e-06
