aps_per_user,bits_per_component,mean_rate,edge_rate,csi_nmse,fronthaul_bits_per_update
4,2,1.9234795131466262,0.9350212603159724,6.754840028581976,128.0
4,3,2.1732078866279627,1.0866609373736782,1.0035744582672548,192.0
4,4,2.3251881774050274,1.2131148122542537,0.16859272520600913,256.0
4,6,2.382761036582293,1.2832777912021733,0.006654163921874421,384.0
4,8,2.3846198102691245,1.2900179354638213,0.0003953165433181932,512.0
8,2,1.943534224823873,1.1410830208614782,6.754840028581976,256.0
8,3,2.2653197497238597,1.325694704495228,1.0035744582672548,384.0
8,4,2.469379742578852,1.48916560642361,0.16859272520600913,512.0
8,6,2.5668310697481607,1.5719121039048034,0.006654163921874421,768.0
8,8,2.571594232974938,1.5763930125692536,0.0003953165433181932,1024.0
24,2,1.2243291276508237,0.8457566871297969,6.754840028581976,768.0
24,3,1.6604810454559287,1.1371016611188238,1.0035744582672548,1152.0
24,4,2.1280082124989264,1.4573436375718798,0.16859272520600913,1536.0
24,6,2.543198980614501,1.6760097443337176,0.006654163921874421,2304.0
24,8,2.5749540853855453,1.687131527916186,0.0003953165433181932,3072.0
