feedback_bits,codebook_size,mean_rate_bphz,p05_rate_bphz,loss_to_perfect_mrt
0,1,1.7118040260969838,0.22231763937307691,0.0
1,2,2.265837371509938,0.8327721776270466,1.3466475183684645
2,4,2.6070988160944495,1.3196152204432652,1.0053860737839528
3,8,2.879374726580134,1.678673617969049,0.7331101632982682
4,16,3.058708788548291,1.8780889763986957,0.5537761013301115
6,64,3.2819174309035946,2.0970838451214253,0.33056745897480777
8,256,3.4149544354601247,2.2259390184345422,0.19753045441827766
99,-1,3.6124848898784023,2.408225519841768,0.0
