snr_db,perfect_csi_ber,training_ls_ber,channel_nmse
4,0.12241753472222222,0.18969184027777777,0.28053812477907675
8,0.06384548611111111,0.1050708912037037,0.11170863037418972
12,0.03062789351851852,0.052886284722222225,0.04411719800350176
16,0.011226851851851852,0.022063078703703703,0.01736572985985564
20,0.004796006944444445,0.009150752314814815,0.0068609806131192455
24,0.0016565393518518517,0.003790509259259259,0.002811825414121002
