relative_csi_error,naive_mean_weakest_gain,robust_mean_weakest_gain,naive_p10_weakest_gain,robust_p10_weakest_gain,robust_win_fraction
0,0.3069321556940631,0.3069321556940631,0.24930643136875685,0.24930643136875685,0.0
0.05,0.3114714210252355,0.3092233488701488,0.23136740275814283,0.23910870219577518,0.25
0.1,0.2995575126970141,0.29757586086840504,0.19656314508810901,0.22393286595681347,0.475
0.2,0.26032160790262077,0.27651073215831773,0.15232791359154726,0.18591686555224982,0.6
0.3,0.2276425342066511,0.2706929152295997,0.13974319735504753,0.15837488321368398,0.7
0.5,0.15276407664414632,0.18622241798970768,0.07138398473897031,0.07765073457658157,0.6
