power_spread_db,offered_load,throughput,packet_loss_rate,sic_iterations
0,0.2,0.20197916666666665,0.0007729966503478014,3.15625
0,0.30000000000000004,0.29140625,0.0030292230933713915,3.76875
0,0.4,0.3903125,0.0018646776771443774,4.625
0,0.5,0.5011979166666667,0.0035207621414518053,5.8375
0,0.6000000000000001,0.6013020833333333,0.009182972880192208,7.90625
0,0.7,0.6810416666666667,0.03775112223121646,10.7125
0,0.8,0.6390104166666667,0.2088089250016122,12.4375
0,0.9000000000000001,0.41625,0.539790395024761,9.70625
0,1.0,0.23140625,0.7692906843909024,6.65625
0,1.1,0.14005208333333333,0.8719523809523809,4.625
0,1.2,0.0859375,0.9285868859554209,3.5125
6,0.2,0.20255208333333333,0.001540436456996197,3.16875
6,0.30000000000000004,0.29791666666666666,0.0019193857965451588,3.8375
6,0.4,0.39739583333333334,0.002875065342394123,4.66875
6,0.5,0.49375,0.006080939400293528,5.85625
6,0.6000000000000001,0.58421875,0.009711309261057677,7.5125
6,0.7,0.6611979166666667,0.04087337564218796,9.7875
6,0.8,0.6730729166666667,0.14694039210508947,11.75625
6,0.9000000000000001,0.4855729166666667,0.4641646071613311,11.1375
6,1.0,0.25296875,0.7490700557966522,6.95
6,1.1,0.15380208333333334,0.860969868173258,5.1
6,1.2,0.08557291666666667,0.9293211735352319,3.6
9,0.2,0.20348958333333333,0.0007672634271099765,3.125
9,0.30000000000000004,0.29692708333333334,0.00210047260633639,3.75
9,0.4,0.39145833333333335,0.0035794776614079815,4.3375
9,0.5,0.49963541666666667,0.003013926418623969,5.49375
9,0.6000000000000001,0.5965625,0.007108183079056918,6.7875
9,0.7,0.681875,0.02181709503885232,8.6625
9,0.8,0.76234375,0.05286657176135623,11.89375
9,0.9000000000000001,0.6806770833333333,0.2387138113823033,12.29375
9,1.0,0.5197395833333334,0.4799353762768397,10.89375
9,1.1,0.2725,0.7558334888930371,7.5375
9,1.2,0.16296875,0.8634638041628485,5.4625
