time_s,true_angle_deg,measurement_deg,reactive_beam_deg,cv_beam_deg,ca_beam_deg
0.0,-30.0,-30.858089593517477,-30.0,-30.0,-30.0
0.05,-29.849125,,-30.858089593517477,-30.53647167481398,-30.53559667481398
0.1,-29.6965,,-30.858089593517477,-30.386471674813983,-30.38297167481398
0.15000000000000002,-29.542125000000002,,-30.858089593517477,-30.236471674813984,-30.22859667481398
0.2,-29.386,,-30.858089593517477,-30.086471674813986,-30.07247167481398
0.25,-29.228125,,-30.858089593517477,-29.936471674813987,-29.91459667481398
0.30000000000000004,-29.0685,-29.27541443687373,-30.858089593517477,-29.78647167481399,-29.754971674813977
0.35000000000000003,-28.907125,,-29.27541443687373,-29.40475336275441,-29.235271820299698
0.4,-28.744,,-29.27541443687373,-29.253693982905574,-29.03531096575804
0.45,-28.579124999999998,,-29.27541443687373,-29.10263460305674,-28.83269800249243
0.5,-28.4125,,-29.27541443687373,-28.951575223207904,-28.627432930502874
0.55,-28.244125,,-29.27541443687373,-28.80051584335907,-28.419515749789365
0.6000000000000001,-28.073999999999998,,-29.27541443687373,-28.649456463510234,-28.208946460351907
0.65,-27.902125,,-29.27541443687373,-28.4983970836614,-27.995725062190495
0.7000000000000001,-27.728499999999997,,-29.27541443687373,-28.347337703812563,-27.779851555305132
0.75,-27.553125,,-29.27541443687373,-28.19627832396373,-27.56132593969582
0.8,-27.376,,-29.27541443687373,-28.045218944114893,-27.340148215362557
0.8500000000000001,-27.197125,,-29.27541443687373,-27.894159564266058,-27.116318382305344
0.9,-27.0165,-26.827796493542717,-29.27541443687373,-27.743100184417223,-26.88983644052418
0.9500000000000001,-26.834125,,-26.827796493542717,-27.246023244042522,-26.598529081248188
1.0,-26.65,,-26.827796493542717,-27.08938541436931,-26.361097785962166
1.05,-26.464125000000003,,-26.827796493542717,-26.9327475846961,-26.120792589156128
1.1,-26.2765,,-26.827796493542717,-26.776109755022887,-25.877613490830075
1.1500000000000001,-26.087125,,-26.827796493542717,-26.619471925349675,-25.631560490984008
1.2000000000000002,-25.895999999999997,-27.0126022463765,-26.827796493542717,-26.462834095676463,-25.38263358961792
1.25,-25.703125,,-27.0126022463765,-26.484640497793375,-26.50665200005347
1.3,-25.5085,,-27.0126022463765,-26.331616950883515,-26.39078551121975
1.35,-25.312124999999998,,-27.0126022463765,-26.178593403973654,-26.27823200344085
1.4000000000000001,-25.114,,-27.0126022463765,-26.025569857063793,-26.168991476716766
