scheme,mean_rate,mean_5pct,mean_min_rate,mean_jain
UC-4 equal power,2.125584079269662,0.9582669178647453,0.8730828181423844,0.7595730985555981
UC-4 max-min,1.2863516516851405,1.2863516516851399,1.2863516516851399,1.0
Cell-free equal power,2.1555501369430154,1.26985706956377,1.2020455210537688,0.8661381113731665
