importance_snr_anticorrelation,policy,weighted_task_utility,model_coverage,time_ratio_to_full,repaired_fraction
0,no_repair,0.6406109276080466,0.6333333333333333,0.11204048566018235,0.0
0,important_repair,0.8364099881474354,0.8072222222222224,0.9149855907679295,0.17388888888888887
0,all_repair,1.0,1.0,3.8723253702869402,0.36666666666666664
0.3,no_repair,0.5773869274173375,0.6333333333333333,0.11204048566018235,0.0
0.3,important_repair,0.7945782074971699,0.8061111111111112,0.9169324028424419,0.17277777777777775
0.3,all_repair,1.0,1.0,3.8723253702869402,0.36666666666666664
0.6,no_repair,0.5105538367407444,0.6333333333333333,0.11204048566018235,0.0
0.6,important_repair,0.7413167974349305,0.8061111111111112,0.9169324028424419,0.17277777777777775
0.6,all_repair,1.0,1.0,3.8723253702869402,0.36666666666666664
0.8,no_repair,0.4645217249996569,0.6333333333333333,0.11204048566018235,0.0
0.8,important_repair,0.6966805342033027,0.8077777777777779,0.9139657961545902,0.17444444444444446
0.8,all_repair,1.0,1.0,3.8723253702869402,0.36666666666666664
0.95,no_repair,0.42921905257950377,0.6333333333333333,0.11204048566018235,0.0
0.95,important_repair,0.6530101731563369,0.8094444444444445,0.8955413608589435,0.17611111111111108
0.95,all_repair,1.0,1.0,3.8723253702869402,0.36666666666666664
