snr_db,scheme,packet_success_rate,avg_transmitted_coded_bits,avg_rounds,payload_goodput_bit_per_tx_bit
0,Chase full-code,1.0,98.13333333333334,1.0222222222222221,0.32608695652173914
0,Incremental redundancy,0.9777777777777777,86.4,3.2,0.36213991769547327
2,Chase full-code,1.0,98.13333333333334,1.0222222222222221,0.32608695652173914
2,Incremental redundancy,1.0,78.4,2.533333333333333,0.40816326530612246
4,Chase full-code,1.0,96.0,1.0,0.3333333333333333
4,Incremental redundancy,1.0,76.53333333333333,2.3777777777777778,0.4181184668989547
6,Chase full-code,1.0,96.0,1.0,0.3333333333333333
6,Incremental redundancy,1.0,77.86666666666666,2.488888888888889,0.410958904109589
8,Chase full-code,1.0,96.0,1.0,0.3333333333333333
8,Incremental redundancy,1.0,79.2,2.6,0.40404040404040403
