n_candidates,mean_papr_db,p99_papr_db,max_papr_db,side_info_bits_per_symbol
1,6.6621335153232915,9.173587642236814,11.04783044131704,0
4,5.70111734707817,7.019847333263211,7.903812363627405,2
8,5.4011783491719445,6.453054833951265,7.394979322787963,3
