cache_capacity_mb,policy,mean_latency_ms,p95_latency_ms,cache_hit_rate,backhaul_mb_per_request,offload_jain
260,nearest,73.65921039218215,122.58995004487839,0.34288888888888885,91.47770950699767,0.9997118669417621
260,cache_first,52.17296116234942,115.38044073686687,0.7198055555555555,42.07974337828393,0.9871541073297654
260,joint,51.87394702752027,115.2171815596242,0.7155,42.67076119053319,0.9871635666529627
360,nearest,56.64649631548275,116.95479978821903,0.5546111111111112,62.19553640772886,0.9997118669417621
360,cache_first,113.54283656953346,536.154580209592,0.9370833333333334,10.322354651088935,0.9603070658132292
360,joint,37.45861454508567,90.15611116590043,0.9083888888888888,14.713549737958026,0.9640510036622931
520,nearest,43.181199124146836,114.51790473236287,0.7246388888888888,37.34553921277337,0.9997118669417621
520,cache_first,31.979807249745463,58.327438016462054,0.9994444444444444,0.3366346056133834,0.8951169465643746
520,joint,28.374355126625016,46.29263792816821,0.9917499999999998,1.6163624331298723,0.9698792935903269
700,nearest,36.24485938073578,111.57998668366601,0.8122500000000001,25.387372355462304,0.9997118669417621
700,cache_first,95.14820376439936,473.3387854348564,0.9998611111111111,0.3517361596224375,0.9188917691780002
700,joint,25.474974824430557,40.22165111354159,0.99925,0.46986352679755966,0.9821082643760067
