round,ideal_loss,orthogonal_loss,full_inversion_loss,truncated_loss
0,0.542539777046139,0.542539777046139,0.542539777046139,0.542539777046139
1,0.41708381028948455,0.41741215528652137,0.4136028507237736,0.413405500638134
2,0.32231157139490324,0.32433051144064134,0.3208075971883731,0.32088981674272293
3,0.2505703704944214,0.2558976139645303,0.2533965646586534,0.25190116129374585
4,0.196155272873773,0.1999338185925924,0.19619293843735974,0.1948019477358192
5,0.15480311407779146,0.158408976882592,0.15502747212334228,0.1541066407949332
6,0.12332061179828323,0.1297436727749716,0.12313994964725106,0.1224696731380383
7,0.09931035715347748,0.10655300094383496,0.10130985982470453,0.10017037190574425
8,0.08096842137689425,0.0851220253797833,0.08169357856194555,0.08083358726498202
9,0.06693448898341241,0.07047809485091237,0.06794891322853606,0.06718181806919472
10,0.05618061133731752,0.058821925090755074,0.05668023078632959,0.05606546313839197
11,0.04792842631499732,0.05775830155157613,0.048246168939224406,0.047716678376457024
12,0.041587411542019316,0.048330623895178004,0.042511016505696164,0.041903392451611475
13,0.03670871770429148,0.042528728293884294,0.03857892329125638,0.0375690684907359
14,0.03295057070591694,0.038339092137503965,0.03377866634459858,0.033054464401092644
15,0.030052285022697068,0.03826975984353729,0.031919640321624566,0.030769052321965227
16,0.027814702075953573,0.033537005420420235,0.031005544603305735,0.028802486554290057
17,0.026085433728031734,0.02871873189948285,0.028460961033897416,0.026867419269013065
18,0.02474770767222857,0.0282662090845011,0.026647950660625825,0.025315363148170098
19,0.023711918831515955,0.027971808043499427,0.02512330222900895,0.024003374771753863
20,0.022909218134522433,0.026223783198945163,0.024448270391226407,0.023435613481600958
21,0.022286638483084677,0.024725768227264636,0.022821983565319753,0.02238300812947967
22,0.021803382883693035,0.023824954340656488,0.02255860695085164,0.02200237507625255
23,0.021427992931978262,0.023118339246164032,0.022063506147155593,0.02163878611046516
24,0.0211361854300522,0.022680411597852838,0.0219112301655775,0.02155535327969756
25,0.020909196989092174,0.022355940151754267,0.021557097685236958,0.02129655093931333
26,0.020732515521779904,0.021990237519626935,0.021150212412210115,0.020968861456198074
27,0.02059490688105543,0.02127672369315441,0.0211294847907235,0.020969418766615695
28,0.020487667009692557,0.021060527154477735,0.02098553775086078,0.020835527133043912
29,0.020404046651523018,0.020945985508273725,0.02095316653140052,0.020714978684440947
30,0.020338808294421588,0.02080113166011077,0.020673695965174047,0.020529250545583067
31,0.020287884576980067,0.02128832991955031,0.02052212903138724,0.020416401657760683
32,0.020248114649251504,0.021057621834265624,0.020381285884506623,0.02032075882034256
33,0.020217040497606364,0.02070118755552228,0.02049036523432034,0.020379085042118574
34,0.02019274944821219,0.020555730649163894,0.020701366656082167,0.02037945763530785
35,0.020173752271449356,0.020856527612641788,0.02057197807441644,0.020327428960408785
36,0.020158888760712177,0.020697020017441642,0.0206376376780399,0.02027101914699016
37,0.02014725453472856,0.020358060778798103,0.020413078655417572,0.02021578127400639
38,0.020138144249845797,0.02030102495347608,0.020288535215651972,0.020156524852999975
39,0.02013100751157399,0.020280936129370205,0.020249702797668006,0.020138980083892515
40,0.020125414621938686,0.02064296592943862,0.02019238557134875,0.020145956958762156
41,0.020121029950870836,0.020535519335031092,0.020166642097739246,0.02015327429113983
42,0.02011759122166547,0.020919000210624834,0.02020059238160411,0.020160742861837104
43,0.020114893387348395,0.020924724692259172,0.020331711401092956,0.02019683000318305
44,0.020112776073255508,0.021288260306210473,0.02034252728688264,0.02020066813912054
45,0.02011111379164832,0.02093516293931606,0.020394250276850476,0.02025889134733505
46,0.020109808312390957,0.02055183384078293,0.020353571810853417,0.020231418781698207
47,0.020108782711590573,0.020639051439142634,0.020557895470367456,0.020252408591487813
48,0.020107976726866646,0.029278369879266745,0.020524334331300575,0.020236527260750203
49,0.020107343130650383,0.02847291865020153,0.020848338415392863,0.020238917908732387
50,0.02010684489707829,0.02651625646277767,0.02059966535952058,0.02018924594148681
51,0.020106452987838322,0.024767661133022232,0.020666734529290843,0.020204373255771447
52,0.020106144620996438,0.023062933162202745,0.020649567694455098,0.020237598800407586
53,0.02010590191688077,0.022414469825287952,0.020527901239133336,0.020210063235462976
54,0.020105710838465796,0.021988871188497544,0.020365924320253068,0.020195074201781526
55,0.020105560361877328,0.02177007918939074,0.02031614461115822,0.02020620225084339
56,0.02010544182679049,0.022573772043189017,0.02036524194061795,0.02023821675248381
57,0.020105348427514796,0.0220702077410433,0.020435012278395556,0.02025550920101504
58,0.020105274814149903,0.02236340874694363,0.020829481214314507,0.02046190922770628
59,0.0201052167798926,0.021768116150056523,0.02120615178910282,0.020572854195994906
60,0.020105171015799627,0.021378842194669036,0.02091015182458301,0.020458443577943682
61,0.02010513491838784,0.021256134511729936,0.0205169623783174,0.02033276316454261
62,0.020105106438636704,0.02091010174202271,0.020756154220478745,0.020456664446689747
63,0.02010508396344433,0.020733012112631427,0.02061425981078571,0.02035927198989102
64,0.020105066222531685,0.025661042511782,0.02052322466012264,0.020336088355211918
65,0.020105052215308453,0.02466155690484531,0.020391520043779397,0.020256410223428455
66,0.020105041153402507,0.023725782408713078,0.021093577310660302,0.020257420065136113
67,0.02010503241548409,0.023989662932793004,0.020482872419840075,0.02016445650322778
68,0.020105025511743927,0.02381828563096591,0.020344254442266015,0.020164384369662263
69,0.020105020055953788,0.02360164668084055,0.020512175179673395,0.020211119850365653
70,0.020105015743484615,0.02236393143184211,0.020432761351818894,0.020237122383206036
71,0.020105012334006866,0.021864038436567645,0.020324245681666134,0.02018529238152437
72,0.02010500963787192,0.02151246128488099,0.020338322785626507,0.020211786729667894
73,0.020105007505388205,0.02112144174009843,0.020319343681298146,0.020197065296866375
74,0.02010500581837459,0.1529660503798068,0.02027516644241682,0.020169188432828045
75,0.02010500448350548,0.12262422453545709,0.020438492564793964,0.0201914062252743
76,0.02010500342706635,0.09787286562246977,0.020774306038955002,0.020279636504803522
77,0.020105002590819543,0.07149409974863212,0.02062183727199275,0.020242358707947623
78,0.020105001928744565,0.06009415971173543,0.02076503284321518,0.020306635741697793
79,0.02010500140446719,0.05144389177806153,0.020527461112762737,0.020234522526585873
80,0.020105000989231344,0.047573123580608036,0.02048700008569093,0.02029383156224161
