feedback_delay,early_post_drift_weighted_miss_rate,post_drift_task_weighted_miss_rate,post_drift_critical_miss_rate,resilience_credits_per_task,action_switch_rate
1,0.21441318407165413,0.24056084911965298,0.2678002416366778,0.653798571428534,0.41727389627089584
8,0.20568663190767525,0.226595939896808,0.25749927965342523,0.6536928571428199,0.41391627375339335
32,0.2083106285816352,0.22888654112143925,0.26124523414207435,0.6548914285713916,0.4151664523503358
96,0.2050533998914645,0.2282672422112858,0.2612149253969911,0.6502714285713901,0.4162023146163738
256,0.21142604795990952,0.23317886633578222,0.25842432709175545,0.6419449999999586,0.41827403914844974
512,0.21754661371842138,0.22777853358523448,0.2573107251353096,0.624286428571381,0.4174524932133162
