rf_chains,full_digital,dft_one_shot,omp_hybrid,omp_fraction_of_full
2,17.547650751651975,15.452853462838545,16.260215887938113,0.9266320670536106
3,17.574823442858264,16.535068300880546,16.80395111887229,0.9561376917103981
4,17.524556033637587,16.877595272704163,17.061976406376033,0.9736039174759318
6,17.476157410911018,17.171261968510912,17.226338363478764,0.9857051500762815
8,17.48335762310985,17.282902449395127,17.310887997666594,0.9901352114873357
