policy,control_parameter,position_rmse,p95_position_error,mean_aoii,normalized_radio_load_per_slot,update_attempt_fraction,update_success_fraction
periodic,2,0.911498919209703,1.4278032373951202,0.4135802469135803,0.5,0.5,0.3817901234567902
periodic,4,2.569976699690852,5.043420380714547,1.591666666666667,0.25,0.25,0.4209876543209876
periodic,8,6.20504506228954,15.485800652443244,4.236882716049383,0.125,0.125,0.4061728395061729
periodic,12,18.342313510457732,49.117104451062474,12.319290123456788,0.08333333333333331,0.08333333333333331,0.3907407407407408
periodic,16,22.864342251458435,57.189090163592695,17.197993827160495,0.0611111111111111,0.0611111111111111,0.398989898989899
periodic,24,40.325971774610665,96.01992141499927,32.394444444444446,0.04166666666666666,0.04166666666666666,0.3555555555555555
error_full,0.5,0.45990353717974725,0.7188381743907942,0.13518518518518519,0.14166666666666666,0.14166666666666666,0.39056184592338733
error_full,1.0,0.6527212052605372,1.1437813722776717,0.2953703703703704,0.10570987654320989,0.10570987654320989,0.3936534436094812
error_full,1.5,0.8432850492578209,1.5865153136298458,0.4307098765432099,0.0896604938271605,0.0896604938271605,0.37951176294026945
error_full,2.5,1.2848296810959356,2.486468877134106,5.006635802469136,0.07145061728395061,0.07145061728395061,0.3669847393752163
error_full,4.0,1.7723637879935519,3.6485331358834614,11.114814814814814,0.0566358024691358,0.0566358024691358,0.38267186214057336
error_full,6.0,2.3940632278802987,5.371673071220228,15.207098765432098,0.04537037037037037,0.04537037037037037,0.4080671253610322
semantic_delta,0.5,0.21292650130140287,0.4414263128526495,0.0,0.009709705936536174,0.0662037037037037,0.9355664058179466
semantic_delta,1.0,0.4332633076449283,0.8723215926780777,0.0,0.008130310995397589,0.04984567901234568,0.9119297736815797
semantic_delta,1.5,0.6289146448460703,1.3048270260600472,0.0,0.0067913618719825375,0.03888888888888889,0.9382046194546194
semantic_delta,2.5,0.9950364429528423,2.149221440229491,3.8604938271604943,0.00612161115547894,0.03179012345679012,0.9003826420493088
semantic_delta,4.0,1.5208415902487769,3.3219704805573445,10.791203703703705,0.004906161337273586,0.02330246913580247,0.9117043450376783
semantic_delta,6.0,2.153991375703708,4.835190695670176,15.368055555555555,0.004461996364732633,0.019753086419753086,0.9281305114638447
