recache_interval,mean_latency_ms,cache_hit_rate,backhaul_mb,cache_updates
40,32.1046270393803,0.7511666666666666,8726.377506089486,31.25
80,32.20860772544814,0.7497000000000001,6705.663897051015,19.5
160,32.354723024568045,0.7479416666666667,5264.061572854272,11.0
320,33.41971228569594,0.7353833333333334,4551.785421391661,6.75
640,33.72140459016331,0.7310250000000001,4118.438229483533,4.166666666666667
1280,38.24772033787298,0.679075,4464.152877061704,3.0833333333333335
