pilot_snr_db,coarse_doppler_mae_bins,refined_doppler_mae_bins,coarse_relative_residual,refined_relative_residual
10,0.38499999999999995,0.021312499999999956,0.6502653862875671,0.2922741729615569
15,0.38499999999999995,0.011937499999999967,0.6217002116627928,0.17121983112384215
20,0.38499999999999995,0.011062499999999986,0.6122743476859328,0.09906462681217511
25,0.38499999999999995,0.01087499999999999,0.609313700251944,0.05721253394835155
30,0.38499999999999995,0.010250000000000004,0.609143582360096,0.036307882132680894
