backoff_db,no_dpd_evm_pct,dpd_evm_pct,no_dpd_guard_db,dpd_guard_db,dpd_drive_peak
0,31.32961947470631,30.575780339393997,-14.00578835387061,-13.092742863252516,1.5656698812537269
2,21.682945542699738,20.002180318392703,-16.74338216799811,-16.087223468656347,1.5656698812537269
4,13.391598736544788,10.888968126838886,-20.471564763969027,-20.790176789669026,1.5656698812537269
6,7.222302013227694,4.513441028975504,-25.414957552511662,-28.02718583074654,1.5656698812537269
8,3.3562577037747974,1.2328977432363883,-31.730729644129305,-39.07728856552418,1.5656698812537266
10,1.3484565038877538,0.12953760599983738,-39.422170524478396,-58.6536105377201,1.5656698812537266
