scheduler,throughput_bits_per_slot,jain_fairness,mean_delay_slots,p95_delay_slots,completed_packets,pending_packets,final_backlog_bits,user0_bits,user1_bits,user2_bits,user3_bits
Round Robin,19687.027861657287,0.9400743484548921,65.80296610169492,363.1499999999992,2360,456,4535566.566011264,3426361.005262455,6055698.246144195,7007973.9192007305,7134400.263381367
Max Rate,21712.66325367742,0.973716258315499,31.166218809980805,219.79999999999973,2605,211,2104804.095587081,4665195.90441292,7229999.999999994,7009999.999999996,7149999.999999992
Proportional Fair,22284.044024640494,0.9867590575428602,23.706432311144354,155.0,2674,142,1419147.170431367,5350852.829568621,7229999.999999989,7009999.999999991,7149999.999999992
Delay-aware PF,23363.266190794842,0.9990081309742624,4.958259008205494,18.0,2803,13,124080.57104616982,6651386.138901249,7229999.99999999,7010000.000000007,7144533.290052568
