frame_slots,mode,final_loss,decoded_fraction,decoded_gradient_mass,mean_repetition_degree,empty_round_fraction
10,uniform,0.08720577579278148,0.029058025308025308,0.02899075396807449,3.0,0.6729166666666664
10,importance,0.07724371553129487,0.03337475024975025,0.03532943919914393,3.0196213942307697,0.6458333333333333
12,uniform,0.03023848361103843,0.07417947503885003,0.07490496298211995,3.0,0.36875
12,importance,0.029308180158410847,0.07513553286990787,0.07893190636097232,3.0196213942307697,0.3854166666666667
14,uniform,0.0227433678073884,0.17214906621156623,0.17260487837001293,3.0,0.13541666666666666
14,importance,0.022377579856458163,0.1906758605977356,0.19720104048222992,3.0196213942307697,0.14166666666666666
16,uniform,0.021582111450321764,0.3254008751665002,0.3265656730492085,3.0,0.04791666666666666
16,importance,0.02139288305273201,0.3459747804279054,0.3535538147839936,3.0196213942307697,0.04375
18,uniform,0.021345465476832394,0.5190459974053724,0.5187856988929804,3.0,0.00625
18,importance,0.02123123042183201,0.6066429143772893,0.6139419701655786,3.0196213942307697,0.012499999999999999
20,uniform,0.021236389204895,0.7321374198717949,0.7322875673583948,3.0,0.00625
20,importance,0.02119910481081608,0.786160905067155,0.7902118221392073,3.0196213942307697,0.0020833333333333333
24,uniform,0.021187980655412494,0.9218348405067153,0.9224720360080187,3.0,0.0
24,importance,0.02118535981222908,0.9458919986263736,0.9476247777972268,3.0196213942307697,0.0
