sensing_angle_deg,weight_comm,rate,sensing_gain
-10.0,0.0,0.38684598746215065,1.0
-10.0,0.025,0.40464205164044764,0.9999934153745469
-10.0,0.05,0.4246592301349297,0.9999706886462942
-10.0,0.07500000000000001,0.44731353104846583,0.999926164926271
-10.0,0.1,0.4731260207398673,0.9998520588608524
-10.0,0.125,0.5027565641101286,0.9997375035522192
-10.0,0.15000000000000002,0.5370508317717271,0.9995670895558317
-10.0,0.17500000000000002,0.5771067830221268,0.9993185661072495
-10.0,0.2,0.6243702081196475,0.9989591250452801
-10.0,0.225,0.680774362213083,0.9984392064430412
-10.0,0.25,0.7489476337170221,0.9976818050816116
-10.0,0.275,0.8325278778879824,0.9965632517737852
-10.0,0.30000000000000004,0.9366461987454441,0.9948770279683067
-10.0,0.325,1.068681612973785,0.9922618514454529
-10.0,0.35000000000000003,1.2394441552916695,0.988049489893321
-10.0,0.375,1.4649978957668144,0.9809185850572045
-10.0,0.4,1.7692411747871393,0.9680421417505648
-10.0,0.42500000000000004,2.1863412381603227,0.9428283833876125
-10.0,0.45,2.7564174180418486,0.8888848051243228
-10.0,0.47500000000000003,3.4843648749790765,0.768923864772754
-10.0,0.5,4.214786902029506,0.5490162407462341
-10.0,0.525,4.678385413353146,0.31849246358798944
-10.0,0.55,4.879917145018404,0.17991130877141803
-10.0,0.5750000000000001,4.962109774724781,0.1109842919365093
-10.0,0.6000000000000001,4.998978414802461,0.07527331785897211
-10.0,0.625,5.017449602848413,0.05501970875909184
-10.0,0.65,5.027578005480207,0.04253360835194574
-10.0,0.675,5.033527807708262,0.03429736578995055
-10.0,0.7000000000000001,5.037209338426538,0.028564795576733106
-10.0,0.7250000000000001,5.039578158291973,0.024400091809023024
-10.0,0.75,5.041147367333113,0.02126770321647649
-10.0,0.775,5.042208951015863,0.01884374780279184
-10.0,0.8,5.0429372238568835,0.01692305431201924
-10.0,0.8250000000000001,5.043440493903992,0.015370451382088398
-10.0,0.8500000000000001,5.043788360444702,0.014093854107460314
-10.0,0.875,5.044026846117755,0.013028696560466518
-10.0,0.9,5.04418713825914,0.012128561461023769
-10.0,0.925,5.044290822089859,0.011359340468057802
-10.0,0.9500000000000001,5.044353112865737,0.010695481864869839
-10.0,0.9750000000000001,5.0443849075894205,0.010117513445644141
-10.0,1.0,5.044394119358453,0.00961036742757149
5.0,0.0,0.018975596077904108,1.0
5.0,0.025,0.019980028138066958,0.9999997136059781
5.0,0.05,0.021125724645505543,0.9999987236675045
5.0,0.07500000000000001,0.022443055565532385,0.9999967806551975
5.0,0.1,0.023971395970507802,0.999993539409728
5.0,0.125,0.025762616051648257,0.9999885154711637
5.0,0.15000000000000002,0.02788628341984917,0.9999810172935744
5.0,0.17500000000000002,0.03043762000465178,0.9999700382422375
5.0,0.2,0.03355003310348141,0.9999540792958865
5.0,0.225,0.03741552205026185,0.9999308478002557
5.0,0.25,0.04231922265005422,0.9998967246755908
5.0,0.275,0.048700595443046404,0.9998457764499163
5.0,0.30000000000000004,0.057267793764558116,0.9997678164353078
5.0,0.325,0.06922573920096606,0.9996443274727879
5.0,0.35000000000000003,0.08676863960307205,0.9994391139612601
5.0,0.375,0.11425555151446122,0.9990743470765924
5.0,0.4,0.1614044603422275,0.9983592879724833
5.0,0.42500000000000004,0.2536152378558174,0.9967278580086223
5.0,0.45,0.4743798338214482,0.9918889298174642
5.0,0.47500000000000003,1.2051476042216427,0.9668659589794966
5.0,0.5,4.114820968215438,0.5101703308340265
5.0,0.525,4.997279339639495,0.04080026786522693
5.0,0.55,5.033002058817226,0.012166277157737167
5.0,0.5750000000000001,5.039809190129863,0.006005964888812236
5.0,0.6000000000000001,5.042096973095693,0.0036992295049383716
5.0,0.625,5.04309857066886,0.002575511286366323
5.0,0.65,5.04360923922201,0.00193715203361285
5.0,0.675,5.04389645584437,0.0015360461341138005
5.0,0.7000000000000001,5.044069263317834,0.0012654182966581442
5.0,0.7250000000000001,5.0441783480228715,0.0010729032082087274
5.0,0.75,5.044249632318969,0.0009302472875663183
5.0,0.775,5.044297373777111,0.000821052750166701
5.0,0.8,5.044329875918782,0.0007352381015020001
5.0,0.8250000000000001,5.0443522029392645,0.0006663087959926528
5.0,0.8500000000000001,5.044367562744169,0.0006099162219867577
5.0,0.875,5.044378052677185,0.0005630524782238175
5.0,0.9,5.0443850811128845,0.0005235785656648593
5.0,0.925,5.04438961556206,0.0004899365763239896
5.0,0.9500000000000001,5.044392333797531,0.0004609679342205407
5.0,0.9750000000000001,5.044393718699745,0.00043579510000560416
5.0,1.0,5.044394119358453,0.0004137425170946463
25.0,0.0,0.02317291382676296,1.0
25.0,0.025,0.024397527496013302,0.9999996497823089
25.0,0.05,0.025794121504957628,0.9999984392512883
25.0,0.07500000000000001,0.027399605735945295,0.999996063313313
25.0,0.1,0.02926181199349728,0.9999920999702758
25.0,0.125,0.03144371659812889,0.9999859569457122
25.0,0.15000000000000002,0.03402972867830816,0.9999767888467681
25.0,0.17500000000000002,0.03713529722799467,0.9999633651946276
25.0,0.2,0.040922020496586456,0.9999438538163615
25.0,0.225,0.045622211132387964,0.9999154528772165
25.0,0.25,0.051580396052499686,0.9998737402424591
25.0,0.275,0.059326638057648526,0.9998114673701185
25.0,0.30000000000000004,0.06971313462376132,0.9997161933989201
25.0,0.325,0.08418544828793764,0.9995653126303141
25.0,0.35000000000000003,0.10536474427640898,0.9993146634286889
25.0,0.375,0.13842569371397254,0.9988693743158227
25.0,0.4,0.1947919544039163,0.9979972939668144
25.0,0.42500000000000004,0.30382505027162676,0.9960114385026687
25.0,0.45,0.5589549060631118,0.9901502616631055
25.0,0.47500000000000003,1.3565114993218614,0.9604605443116209
25.0,0.5,4.117687591035693,0.5112471979517961
25.0,0.525,4.98799100029813,0.04877039161126772
25.0,0.55,5.0305483337537416,0.014787551175728268
25.0,0.5750000000000001,5.038803394929223,0.007325403300355914
