snr_db,orthogonal_mean_mse,full_mean_mse,truncated_mean_mse,orthogonal_median_mse,full_median_mse,truncated_median_mse,full_p90_mse,active_fraction
0,0.23688797971187123,0.16552578742558557,0.019477934483985614,0.10034865505766696,0.03744609980068586,0.017398240002992345,0.21596630994530613,0.8865714285714286
5,0.05545837564191685,0.0337468422870242,0.011569683089200856,0.03125047900191526,0.011184156298642105,0.009838926143093884,0.06487577105728566,0.8807142857142857
10,0.0247029982757131,0.018572797823588866,0.008918085080898206,0.01050306099849457,0.0035071103655382393,0.007689974682896285,0.031088445188952745,0.879857142857143
15,0.03433920429489699,0.025764887672588138,0.007517075016142375,0.0033738320018583488,0.0011522992647586953,0.006412328777816471,0.007757835360425994,0.8808571428571427
20,0.0026973788864842964,0.001690063053530182,0.007154113631281225,0.0010106500720565845,0.0003380983840887431,0.006247604175249088,0.002068855816974601,0.8812857142857142
25,0.0009215439372181738,0.0007423830059478332,0.006942425990020615,0.00030604261102178495,0.00011267664220940893,0.005521435145169502,0.0007327357574910383,0.887
