threshold,final_loss,parameter_error,active_fraction,aggregation_mse
0.1,0.024416946096568335,0.08988697940093134,0.9875,0.010039804689309633
0.2,0.021514624940561902,0.05141457572457001,0.959375,0.002693823730322466
0.30000000000000004,0.020945283673015794,0.03936745461974581,0.9145833333333332,0.0013479903004369994
0.4,0.02075072635263151,0.03419004374118724,0.853125,0.0008986685672855826
0.5,0.020644259176872223,0.031170755362971196,0.7854166666666667,0.0007198332047442895
0.6,0.02061777203511633,0.030808897659475896,0.7041666666666667,0.0006741941803641488
0.7000000000000001,0.02063837595577706,0.030874253672426837,0.5989583333333333,0.0008105882826920907
0.8,0.020888659365712377,0.036075760409157415,0.5260416666666667,0.0010513986402590375
0.9,0.021143382369102178,0.041299730857350885,0.4333333333333334,0.0013275820671576246
1.0,0.021365764201347077,0.043900018505417804,0.359375,0.0018134195542532621
