backoff_db,pa_only_evm_pct,learned_poly_dpd_evm_pct,known_inverse_evm_pct,pa_only_guard_db,learned_poly_guard_db,known_inverse_guard_db
2,21.786562648003287,19.28536220116788,20.134684913882587,-16.63589284146465,-16.32855988833517,-15.999693566015926
4,13.478280776118218,10.32219992288591,10.989111142152119,-20.368129430922576,-21.205497991116133,-20.69180500962753
6,7.27871937578235,4.167128612352218,4.533483818817839,-25.305249647089745,-28.662399231844255,-27.9380065321757
8,3.3970822846318796,1.2290691106824727,1.3432180979393338,-31.569751206331627,-39.10420858744454,-38.329368618497064
10,1.3816732316159404,0.22877076954931108,0.23959619727578876,-39.12841367723593,-53.71095339038745,-53.311614926832135
