correlation,bits,absolute_nmse,predictive_nmse,nmse_gain_db,innovation_power
0.8,2,1.6759262773900516,0.5366460654345437,4.94566960898644,1.1170215205548875
0.8,3,0.21749081778398427,0.08204174566121705,4.234060336658879,0.6514813791115858
0.8,4,0.04228296994407714,0.01677248793041518,4.015679964036151,0.587079032453225
0.8,6,0.0023785095436690065,0.0009381231838863558,4.040450295106463,0.5707323890193264
0.95,2,1.4473376035386185,0.15314218643380098,9.75475002448019,0.36452859264085835
0.95,3,0.19038186019357745,0.023235547986954472,9.134726466004407,0.18576407482405496
0.95,4,0.037596186802813174,0.004766879413073385,8.969096330046005,0.16099494851201415
0.95,6,0.002118675393082972,0.00026769598827174187,8.984225597548736,0.15472314618544017
0.98,2,1.5187994808446663,0.06744023962302852,13.525813352991277,0.16198221753016276
0.98,3,0.19953901517615089,0.009775521395757075,13.098878938333513,0.07687596012253713
0.98,4,0.03953212105405855,0.0020150543069763875,12.926633614349523,0.06558225548467615
0.98,6,0.0022183882232095745,0.00011386307139858648,12.89654656523517,0.06284172542113561
0.995,2,1.625670992606297,0.018914251902228535,19.34243487815129,0.047047239867001586
0.995,3,0.2127031407214721,0.002610220819693914,19.11096653258162,0.02005422894224164
0.995,4,0.041053039725690015,0.0005344671443638931,18.854243067810152,0.016668201376061644
0.995,6,0.0023164571570367257,3.000333522510258e-05,18.876547379558957,0.015837625869129856
