link_correlation,duplication_threshold,packet_outage_rate,transmissions_per_packet,duplication_rate,p95_success_latency_ms
0.1,0.04,0.4679821428571429,1.9997678571428572,0.9997678571428571,23.12966673870863
0.1,0.08,0.46833928571428574,1.993625,0.993625,23.09962127010118
0.1,0.12,0.4733125,1.944,0.9440000000000001,22.712398221872018
0.1,0.172,0.5018125,1.7296517857142857,0.7296517857142857,21.711760522771563
0.1,0.24,0.5768839285714286,1.327875,0.32787499999999997,24.836737357913105
0.1,0.34,0.6516964285714286,1.0400535714285712,0.040053571428571424,26.999540806403804
0.1,0.5,0.6654821428571429,1.0001785714285716,0.00017857142857142857,27.3047446353023
0.5,0.04,0.5347410714285714,1.9997678571428572,0.9997678571428571,22.965315037168004
0.5,0.08,0.5349017857142857,1.993625,0.993625,22.95046450351581
0.5,0.12,0.5377053571428572,1.944,0.9440000000000001,22.66623874967742
0.5,0.172,0.5543303571428572,1.7296517857142857,0.7296517857142857,22.028902548151237
0.5,0.24,0.5999642857142857,1.327875,0.32787499999999997,25.221029531317626
0.5,0.34,0.6538392857142856,1.0400535714285712,0.040053571428571424,27.032158225063164
0.5,0.5,0.6655357142857142,1.0001785714285716,0.00017857142857142857,27.31149824604007
0.9,0.04,0.6027767857142857,1.9997678571428572,0.9997678571428571,22.81408211460129
0.9,0.08,0.6028214285714285,1.993625,0.993625,22.808758081568676
0.9,0.12,0.6035803571428572,1.944,0.9440000000000001,22.709144143640607
0.9,0.172,0.608625,1.7296517857142857,0.7296517857142857,22.552509133227485
0.9,0.24,0.6250714285714286,1.327875,0.32787499999999997,25.730989953409182
0.9,0.34,0.6579107142857143,1.0400535714285712,0.040053571428571424,27.25031136368831
0.9,0.5,0.6677678571428571,1.0001785714285716,0.00017857142857142857,27.435323938316824
