n_antennas,orthogonal_like_median_sir_db,reused_pilot_median_sir_db,reused_pilot_p10_sir_db
8,13.395260721380236,5.56889362720519,0.3721758441944991
16,16.595820767778676,5.713430392006227,2.0697008905707204
32,19.767733620129235,5.949605201895693,3.1633890831088656
64,22.761046925150847,6.013410214290955,3.954597129318986
128,25.58070051411878,5.95285338737284,4.49134440592763
