arrival_prob,policy,mean_control_cost,p95_control_cost,safety_violation_rate,inference_completion_rate,inference_deadline_miss_rate,inference_utility_per_slot,control_slot_fraction
0.2,control_first,0.11191798081968833,0.36594752036194994,0.001,0.0,1.0,0.0,1.0
0.2,inference_first,1.2406904502259468,4.828446319941315,0.043583333333333335,0.8675753283243256,0.1324246716756743,0.23157506348180054,0.5756666666666667
0.2,age_first,0.11691275955856584,0.38451196908859264,0.0010833333333333333,0.07385445343775988,0.9261455465622401,0.020929473552523496,0.9688333333333333
0.2,task_value,0.3111520670457806,1.1817313921726886,0.00325,0.8321087426506992,0.16789125734930088,0.2238454582037493,0.59525
0.35,control_first,0.11970465708934865,0.4336216025846155,0.00075,0.0,1.0,0.0,1.0
0.35,inference_first,13.835674086475859,83.3651473486524,0.2925,0.8078975260409003,0.1921024739590998,0.39914696332090543,0.30308333333333337
0.35,age_first,0.13302735308954325,0.4775351078518201,0.0009166666666666668,0.06020091653157936,0.9397990834684207,0.03228151212112649,0.958
0.35,task_value,0.6280278149982489,2.277504651087255,0.007333333333333334,0.7179818773550779,0.2820181226449221,0.3625527304837305,0.3928333333333333
0.5,control_first,0.108644182274711,0.35140342361086296,0.00025,0.0,1.0,0.0,1.0
0.5,inference_first,40.04518379128105,130.61898405138732,0.6435,0.7396548862443635,0.26034511375563657,0.5158581538266518,0.14708333333333334
0.5,age_first,0.12547623912987235,0.39202253620056776,0.0011666666666666665,0.04296522406911573,0.9570347759308843,0.03400274808222185,0.9553333333333333
0.5,task_value,0.8216943781335582,2.6015164970840905,0.008166666666666666,0.6287975159574366,0.37120248404256345,0.45326602544495537,0.28325
0.65,control_first,0.1313644590933507,0.45451169811559194,0.0014166666666666668,0.0,1.0,0.0,1.0
0.65,inference_first,90.35343303448325,133.33333333333334,0.95,0.6497755795600557,0.35022442043994434,0.6253039384351434,0.0405
0.65,age_first,0.14010726729639825,0.4993572272339922,0.0015833333333333335,0.03499973805377153,0.9650002619462285,0.03767694180856813,0.9543333333333333
0.65,task_value,1.1109698227510019,3.467069913268773,0.018333333333333333,0.5288690273831507,0.47113097261684933,0.525181046388305,0.24708333333333332
0.8,control_first,0.10564670582745753,0.3596199331681632,0.00041666666666666664,0.0,1.0,0.0,1.0
0.8,inference_first,125.03164228960348,133.33333333333334,0.98675,0.560693887374223,0.43930611262577707,0.6822082277538857,0.005583333333333333
0.8,age_first,0.1114444549703226,0.3735325709531959,0.00041666666666666664,0.02830958341918857,0.9716904165808116,0.0384832340751009,0.9556666666666667
0.8,task_value,1.156177797251714,3.6049339400079807,0.017583333333333333,0.4515370260813302,0.5484629739186698,0.5655756471976139,0.21808333333333332
