snr_db,zf_ber,mmse_ber,k1_ber,k4_ber,k16_ber,ml_ber,k1_nodes,k4_nodes,k16_nodes,ml_vectors
6,0.2001923076923077,0.18072115384615384,0.19134615384615383,0.17668269230769232,0.17216346153846154,0.17216346153846154,32,80,272,256
10,0.11610576923076923,0.11283653846153846,0.10745192307692308,0.09288461538461538,0.08889423076923077,0.08889423076923077,32,80,272,256
14,0.05889423076923077,0.05504807692307692,0.05158653846153846,0.035673076923076925,0.03293269230769231,0.03293269230769231,32,80,272,256
18,0.02658653846153846,0.024134615384615386,0.022163461538461538,0.00951923076923077,0.007692307692307693,0.007692307692307693,32,80,272,256
22,0.011298076923076923,0.010288461538461538,0.008701923076923078,0.002548076923076923,0.001298076923076923,0.001298076923076923,32,80,272,256
