time_s,true_range_m,measurement_m,tracked_range_m,tracked_velocity_mps
0.0,81.4,77.99744204122747,79.73892565731553,7.89820942885923
0.1,82.8,83.2778720389839,81.68337928449009,9.82259723600694
0.2,84.2,85.13749688463452,83.70381931623915,11.552897749587556
0.30000000000000004,85.6,90.3507876559424,87.1656140883906,15.3970727449087
0.4,87.0,88.98234768662729,88.82167241885472,15.59099117153078
0.5,88.4,88.9195130683917,89.76704297960903,14.568110244199506
0.6000000000000001,89.8,85.38029241299395,88.76955813579427,10.477617130474986
0.7000000000000001,91.2,87.71116191152088,88.93273351516699,9.003306574350365
0.8,92.6,95.91126357499103,92.38590792160541,13.258046156022669
0.9,94.0,98.92771230346352,95.90243243903512,16.909245992401765
1.0,95.4,94.26770072362108,96.19658138612053,14.581286572143807
1.1,96.8,96.20041960929073,97.04390806103635,13.563283268312889
1.2000000000000002,98.2,104.24872314779634,100.8566008270377,17.657224000262982
1.3,99.6,105.42625742660212,103.79997559087,19.619977939939677
1.4000000000000001,101.0,103.49251806635564,104.80880215109048,18.03135921698384
1.5,102.4,103.34243612038098,105.23874725277756,15.742707850298325
1.6,103.8,110.19959639352683,108.23538094720956,18.113312699301932
1.7000000000000002,105.2,101.83262709366079,106.59679646527859,12.363453112866654
1.8,106.6,104.36640509548128,106.37711237050999,9.936737436107874
1.9000000000000001,108.0,108.9863660441061,108.04932968471462,11.067643387097606
2.0,109.4,106.9662857373838,108.23637454328734,9.534777586869193
2.1,110.80000000000001,106.0676582279919,107.87853079090166,7.349241735081543
2.2,112.2,110.53160559731238,109.41907823022889,8.69194717811334
2.3000000000000003,113.6,111.85440248690051,110.94604735436155,9.788237855315536
2.4000000000000004,115.0,117.48486761035142,114.2600696574856,13.680235384636347
2.5,116.4,112.07364325052018,114.13522421886903,11.192120422836009
2.6,117.80000000000001,117.78583732958987,116.31762470989628,12.964101170742072
2.7,119.2,114.60426331558382,116.34993079218809,10.857261112771411
2.8000000000000003,120.6,124.61452220603832,120.45078033054592,15.882466824572571
2.9000000000000004,122.0,nan,122.03902701300318,15.882466824572571
3.0,123.4,119.76028972048378,122.00314042597024,13.175578042088917
3.1,124.80000000000001,126.63398796905034,124.71227992050504,15.49488085929876
3.2,126.2,124.3291138166138,125.45005324671006,14.142022926423975
3.3000000000000003,127.6,121.83736927458615,124.75296330815061,10.623202541087561
3.4000000000000004,129.0,132.5948949096382,128.66272032815849,15.368930484252754
3.5,130.4,126.71470444164532,128.7359516239096,12.929494229795852
3.6,131.8,130.21862807542016,130.1085863988722,13.062303149767528
3.7,133.2,134.96139668812333,132.90438030304418,15.544909131759594
3.8000000000000003,134.60000000000002,135.06069282998138,134.71163629399985,15.966184261392465
3.9000000000000004,136.0,nan,136.3082547201391,15.966184261392465
4.0,137.4,136.877620921114,137.47342721170932,15.247107703777402
4.1000000000000005,138.8,142.04491484563863,140.27778426477872,17.379851508263503
4.2,140.2,145.75506185998157,143.58627224224318,19.997356219327056
4.3,141.60000000000002,nan,145.58600786417588,19.997356219327056
4.4,143.0,148.6099805347082,148.0159230465204,20.71432215334679
4.5,144.4,143.54766099601378,147.34068367020174,16.136536167257866
4.6000000000000005,145.8,144.71853017289232,147.17529829903273,13.171471187433209
4.7,147.2,148.63984286486365,148.55435234555284,13.274649400394528
4.800000000000001,148.60000000000002,147.97944033051476,149.08281896445973,11.942985531840257
4.9,150.0,151.80563322510045,150.91909411477556,13.01294652705995
5.0,151.4,149.34295470189494,151.01186645993516,10.998742681149322
5.1000000000000005,152.8,nan,152.1117407280501,10.998742681149322
5.2,154.2,153.36517658365747,153.27611086291188,11.106235792394015
5.300000000000001,155.60000000000002,155.5566504369668,154.8780991599738,11.925176988764893
5.4,157.0,nan,156.0706168588503,11.925176988764893
