heterogeneity,personalization,test_mse,p90_client_mse,drift
0,0,0.2105429804599443,0.23262383331116848,0.0
0,0.2,0.21622375432845806,0.24065945911153513,0.07076805466069508
0,0.4,0.23268826645509372,0.2654020877570956,0.14153610932139016
0,0.6,0.2599365168398512,0.3119763212024962,0.2123041639820852
0,0.8,0.2979685054827306,0.375471534133574,0.2830722186427803
0,1.0,0.3467842323837318,0.45575027912520183,0.35384027330347534
0.3,0,0.29445336137868194,0.3391303168185128,0.0
0.3,0.2,0.2696705972747469,0.3125247415794299,0.09157925750725963
0.3,0.4,0.2624873464021816,0.31171704706699627,0.18315851501451927
0.3,0.6,0.27290360876098585,0.33632951995808386,0.2747377725217789
0.3,0.8,0.3009193843511598,0.38400034499115476,0.36631703002903854
0.3,1.0,0.3465346731727033,0.45603356060824557,0.4578962875362982
0.6,0,0.5486379214320719,0.6676991783539182,0.0
0.6,0.2,0.4340141158612633,0.5300071313752331,0.13417789393281948
0.6,0.4,0.35650711030406557,0.4443993368021234,0.26835578786563896
0.6,0.6,0.31611690476047893,0.3982041122946492,0.40253368179845833
0.6,0.8,0.31284349923050314,0.4029972041221728,0.5367115757312779
0.6,1.0,0.3466868937141384,0.45706736236198314,0.6708894696640973
1.0,0,1.1524216134904959,1.4516735014645872,0.0
1.0,0.2,0.8256447471947503,1.038076069114857,0.2015397896415064
1.0,0.4,0.5817656372140383,0.7403279162492127,0.4030795792830129
1.0,0.6,0.42078428354836034,0.5442071778165454,0.6046193689245192
1.0,0.8,0.3427006861977164,0.44908528874870335,0.8061591585660256
1.0,1.0,0.3475148451621062,0.4597769582290402,1.0076989482075323
1.4,0,2.058914957343857,2.619732442058628,0.0
1.4,0.2,1.414425024110864,1.7963063266399413,0.27278674996335595
1.4,0.4,0.9211942689325378,1.1830457476812086,0.5455734999267119
1.4,0.6,0.5792226918088791,0.7584822042802721,0.8183602498900677
1.4,0.8,0.38851029273988796,0.512909128021185,1.0911469998534238
1.4,1.0,0.34905707172556466,0.4623576596240964,1.36393374981678
