target,true_range_m,estimated_range_m,range_error_m,true_velocity_mps,estimated_velocity_mps,velocity_error_mps,peak_magnitude
1,117.10642890624999,117.10642890625,1.4210854715202004e-14,-26.348946503906248,-26.34894650390625,-3.552713678800501e-15,31.536749961299762
2,273.2483341145833,273.2483341145833,0.0,20.49362505859375,20.49362505859375,0.0,19.57589587541175
