telemetry_probability,policy,post_drift_weighted_miss_rate,component_observation_rate,audit_fraction,duplicate_action_rate,replica_action_rate,resilience_credits_per_task
0,component_telemetry,0.27156043102105987,0.0,0.0,0.3236666666666667,0.19695238095238096,0.44968761904759313
0,hybrid_feedback,0.2577141761968759,0.0,0.05366666666666666,0.5575714285714285,0.17400000000000002,0.5928514285713702
0.2,component_telemetry,0.2649110785659961,0.1970952380952381,0.0,0.6676666666666667,0.15466666666666665,0.6508533333332909
0.2,hybrid_feedback,0.2612488280786885,0.1970952380952381,0.04252380952380952,0.6520476190476191,0.16466666666666666,0.650607619047578
0.5,component_telemetry,0.2655194814665256,0.49661904761904757,0.0,0.6651428571428571,0.15166666666666667,0.645736190476146
0.5,hybrid_feedback,0.26175310415398706,0.49661904761904757,0.02580952380952381,0.6548571428571428,0.158,0.6452971428570992
0.8,component_telemetry,0.26517448384651204,0.8038095238095239,0.0,0.667952380952381,0.15161904761904763,0.6477066666666224
0.8,hybrid_feedback,0.2651350445029155,0.8038095238095239,0.010142857142857143,0.6633333333333332,0.15433333333333335,0.6473666666666227
1.0,component_telemetry,0.2653554664893813,1.0,0.0,0.6673809523809524,0.14971428571428572,0.645199999999955
1.0,hybrid_feedback,0.2653554664893813,1.0,0.0,0.6673809523809524,0.14971428571428572,0.645199999999955
