clip_ratio,mean_papr_db,evm_pct,ber
9.000000000000000222e-01,1.636110642036758156e+00,3.356156868472363897e+01,9.818489583333332715e-02
1.100000000000000089e+00,2.360768683471037743e+00,2.408632789031288368e+01,2.821875000000000078e-02
1.300000000000000044e+00,3.159926867878279921e+00,1.672147298548367900e+01,3.363281249999999951e-03
1.600000000000000089e+00,4.429361894833752089e+00,9.074998329282108145e+00,1.432291666666666640e-05
2.000000000000000000e+00,5.945441265729139779e+00,3.524044874961909102e+00,0.000000000000000000e+00
3.000000000000000000e+00,6.639247597624780894e+00,1.044768295640916278e-01,0.000000000000000000e+00
