trial,bits,iteration,sum_rate
0,1,0,1.442170009394336
0,1,1,3.963019725926353
0,1,2,3.963019725926353
0,2,0,1.442170009394336
0,2,1,4.183648608695332
0,2,2,4.61301339538918
0,3,0,1.442170009394336
0,3,1,4.146502912591119
0,3,2,4.436153848373797
1,1,0,1.055632465237214
1,1,1,4.604751148498238
1,1,2,5.016448387949094
1,2,0,1.055632465237214
1,2,1,3.348105331955934
1,2,2,5.1493978997520236
1,3,0,1.055632465237214
1,3,1,4.161114145634439
1,3,2,5.595666427941048
2,1,0,3.4513557256941834
2,1,1,5.404093921112217
2,1,2,5.4194142546715565
2,2,0,3.4513557256941834
2,2,1,5.390317642938484
2,2,2,5.481073994026625
2,3,0,3.4513557256941834
2,3,1,5.768800660597893
2,3,2,6.02072640139347
3,1,0,1.9612281152381148
3,1,1,4.272302334572073
3,1,2,4.594707486024538
3,2,0,1.9612281152381148
3,2,1,4.604061918207134
3,2,2,4.95784363847524
3,3,0,1.9612281152381148
3,3,1,5.033420591000251
3,3,2,5.4931154943329545
4,1,0,2.9258801567611386
4,1,1,4.0805703332630126
4,1,2,4.180099631306615
4,2,0,2.9258801567611386
4,2,1,4.487818044936638
4,2,2,4.811514463776476
4,3,0,2.9258801567611386
4,3,1,4.625496572658589
4,3,2,4.8635929476210125
5,1,0,0.9474328876210492
5,1,1,3.7867909724613673
5,1,2,4.226824005543565
5,2,0,0.9474328876210492
5,2,1,4.369368997243974
5,2,2,4.967186873766207
5,3,0,0.9474328876210492
5,3,1,4.3979573060866155
5,3,2,4.591105533453813
6,1,0,2.2288712421175885
6,1,1,3.7164298584174547
6,1,2,4.0479484461591975
6,2,0,2.2288712421175885
6,2,1,3.741658969687864
6,2,2,3.984134009177169
6,3,0,2.2288712421175885
6,3,1,4.144479477241647
6,3,2,4.495553331169241
7,1,0,1.5766477867039905
7,1,1,6.120211960505523
7,1,2,6.35309968484922
7,2,0,1.5766477867039905
7,2,1,6.9714875056971
7,2,2,7.17277664093438
7,3,0,1.5766477867039905
7,3,1,6.99800129182117
7,3,2,7.376187146498122
8,1,0,1.3892573831661905
8,1,1,4.9812208426110205
8,1,2,5.209695365360101
8,2,0,1.3892573831661905
8,2,1,5.725068475084656
8,2,2,6.394189933349185
8,3,0,1.3892573831661905
8,3,1,5.958734179188811
8,3,2,6.498811857278826
9,1,0,0.9790242973350103
9,1,1,3.4180642860844292
9,1,2,3.6530718137438476
9,2,0,0.9790242973350103
9,2,1,3.6106005931496865
9,2,2,4.1960601685947
9,3,0,0.9790242973350103
9,3,1,3.811293769415099
9,3,2,4.665254526439025
10,1,0,2.484578644223574
10,1,1,4.998251477323937
10,1,2,5.265535907325134
10,2,0,2.484578644223574
10,2,1,5.472367936099618
10,2,2,5.973605243356592
10,3,0,2.484578644223574
10,3,1,5.76630034444131
10,3,2,6.37737440764523
11,1,0,1.3162720132058645
11,1,1,3.019848801185785
11,1,2,3.725593625892076
11,2,0,1.3162720132058645
11,2,1,4.027499661958803
11,2,2,4.760757244931971
11,3,0,1.3162720132058645
11,3,1,3.8041284362644814
11,3,2,5.113048808403022
12,1,0,2.9092872397373397
12,1,1,4.319781993145528
12,1,2,4.468652574472005
12,2,0,2.9092872397373397
12,2,1,4.455668937085671
12,2,2,4.693363453917858
12,3,0,2.9092872397373397
12,3,1,4.769285968039124
12,3,2,4.820185814494616
13,1,0,0.49395910260632736
13,1,1,4.037196940160427
13,1,2,4.052699359771744
13,2,0,0.49395910260632736
13,2,1,4.739299958049447
13,2,2,5.019159834488473
13,3,0,0.49395910260632736
13,3,1,4.989134319397875
13,3,2,5.218168575365788
14,1,0,2.9312182475859037
14,1,1,4.1327137668591245
14,1,2,4.341906827604401
14,2,0,2.9312182475859037
14,2,1,4.578305514103991
14,2,2,5.028384608526719
14,3,0,2.9312182475859037
14,3,1,4.93405823818151
14,3,2,5.374839370191927
15,1,0,0.7188685609968996
15,1,1,4.064626661331493
15,1,2,4.107532862222974
15,2,0,0.7188685609968996
15,2,1,3.9020540171885187
15,2,2,5.140095850338502
