scheme,mean_sum_rate,edge_rate,ideal_mean_sum_rate,updates,control_bits_per_slot,mean_update_interval
fixed4,3.750988621709364,0.7877200770567532,3.836223674408123,30,4.0,4.103448275862069
fixed8,3.700951726948687,0.7690436244391712,3.836223674408123,15,2.0,8.5
fixed16,3.5076352746835706,0.7248566722354436,3.836223674408123,8,1.0666666666666667,17.0
event_3pct,3.810978939700335,0.7907529479083841,3.836223674408123,28,3.7333333333333334,4.407407407407407
event_8pct,3.772392161171809,0.7975474822626153,3.836223674408123,23,3.066666666666667,5.409090909090909
event_15pct,3.70976166775553,0.7673687338457567,3.836223674408123,11,1.4666666666666666,11.9
