scheme,mean_sum_rate,p10_sum_rate,median_gram_condition,mean_user_correlation
random,13.334650887179182,10.04899964567377,13.879432833960813,0.3182783020006665
strongest,20.3291206607988,17.918136141724336,7.693936064850302,0.31873983147636237
SUS,20.608205538681045,18.522033212858613,6.367635702857256,0.27536148384942194
