mean_snr_db,policy,mean_control_cost,p95_control_cost,safety_violation_rate,mean_information_age
-5,max_age,25.391057877341726,107.75291971627793,0.5686111111111111,25.769966666666665
-5,max_error,9.910704785188154,56.26492909197902,0.35627777777777775,29.191755555555556
-5,safety_value,9.114805669525962,46.320014298680974,0.3686666666666667,26.907622222222226
-3,max_age,6.915653878850189,42.64411746363136,0.29327777777777775,16.225744444444445
-3,max_error,1.6075455675342216,5.5422645101928865,0.09216666666666667,19.4261
-3,safety_value,1.6482528719344949,5.412480954579942,0.08583333333333332,16.204522222222224
-1,max_age,1.6742650953588332,6.031852645107814,0.1085,10.547544444444444
-1,max_error,0.3932914423137484,1.3260286895550035,0.0095,13.53116666666667
-1,safety_value,0.4751173436193583,1.5373433024839969,0.007777777777777777,10.518511111111112
1,max_age,0.41025772178798253,1.2423919084034505,0.02027777777777778,6.978266666666666
1,max_error,0.19195977115925458,0.5866781338740676,0.0009444444444444444,9.734077777777777
1,safety_value,0.22162853461749218,0.630598375125932,0.0006111111111111111,6.983044444444444
3,max_age,0.21702357606665604,0.6297505646775853,0.006166666666666667,4.7381111111111105
3,max_error,0.11697012399895847,0.33241375355681685,0.0003333333333333333,7.172688888888889
3,safety_value,0.13117020718749514,0.3561238204273775,0.0002777777777777778,4.7762
