scheme,mean_sum_rate,mean_min_user_rate,mean_user_rate
Direct only,4.076493398665846,0.8367540320126022,1.0191233496664616
Random RIS,4.691832200044496,0.9732653921320895,1.172958050011124
Sum-rate RIS,7.482012530428975,1.570410339909285,1.8705031326072437
Min-rate RIS,6.728251745647496,1.635957014883728,1.682062936411874
