snr_db,zf_symbol_mse,mmse_symbol_mse
0.000000000000000000e+00,2.235955302821765578e+00,5.073684635625532735e-01
3.000000000000000000e+00,1.141873912833218929e+00,3.741977349290750432e-01
6.000000000000000000e+00,5.636170438967648133e-01,2.516573833621204015e-01
9.000000000000000000e+00,2.884187631100101346e-01,1.620703740384761282e-01
1.200000000000000000e+01,1.415416158583736039e-01,9.831097148987266721e-02
1.500000000000000000e+01,7.047193664158062087e-02,5.700825964661181827e-02
1.800000000000000000e+01,3.539129774560729330e-02,3.125690514342016613e-02
2.100000000000000000e+01,1.833808259978613950e-02,1.692973636137640181e-02
2.400000000000000000e+01,8.952085090575441495e-03,8.666263287008098282e-03
