snr_db,ber_zf,ber_mmse
0.000000000000000000e+00,2.750843749999999921e-01,2.179843750000000080e-01
3.000000000000000000e+00,2.108281250000000051e-01,1.590343750000000056e-01
6.000000000000000000e+00,1.476093749999999871e-01,1.068781250000000044e-01
9.000000000000000000e+00,9.277812500000000295e-02,6.473125000000000406e-02
1.200000000000000000e+01,5.364062499999999734e-02,3.651562500000000294e-02
1.500000000000000000e+01,2.920312499999999992e-02,1.979374999999999885e-02
1.800000000000000000e+01,1.545000000000000019e-02,1.035624999999999914e-02
2.100000000000000000e+01,7.946875000000000813e-03,5.250000000000000326e-03
2.400000000000000000e+01,3.906250000000000000e-03,2.659374999999999847e-03
