power_spread_db,activity_probability,mode,offered_load_per_resource,throughput_packets_per_slot,throughput_packets_per_resource,success_probability,mean_decoded_per_slot,collision_resource_fraction,attempts,decoded_packets
0,0.02,oma_collision,0.10388888888888889,2.2775,0.09489583333333333,0.9134358288770054,2.2775,0.044405594405594405,2992,2733
0,0.02,noma_sic,0.10388888888888889,2.2775,0.09489583333333333,0.9134358288770054,2.2775,0.044405594405594405,2992,2733
0,0.05,oma_collision,0.25277777777777777,4.726666666666667,0.19694444444444445,0.7791208791208791,4.726666666666667,0.1206201550387597,7280,5672
0,0.05,noma_sic,0.25277777777777777,4.726666666666667,0.19694444444444445,0.7791208791208791,4.726666666666667,0.1206201550387597,7280,5672
0,0.08,oma_collision,0.4020138888888889,6.533333333333333,0.2722222222222222,0.6771463119709794,6.533333333333333,0.18316315899145655,11578,7840
0,0.08,noma_sic,0.4020138888888889,6.533333333333333,0.2722222222222222,0.6771463119709794,6.533333333333333,0.18316315899145655,11578,7840
0,0.12,oma_collision,0.6029513888888889,7.9383333333333335,0.3307638888888889,0.5485747192628851,7.9383333333333335,0.2699823741282857,17365,9526
0,0.12,noma_sic,0.6029513888888889,7.9383333333333335,0.3307638888888889,0.5485747192628851,7.9383333333333335,0.2699823741282857,17365,9526
0,0.18,oma_collision,0.9021527777777778,8.825,0.36770833333333336,0.4075898699099377,8.825,0.3834061135371179,25982,10590
0,0.18,noma_sic,0.9021527777777778,8.825,0.36770833333333336,0.4075898699099377,8.825,0.3834061135371179,25982,10590
4,0.02,oma_collision,0.10388888888888889,2.220833333333333,0.09253472222222223,0.8907085561497327,2.220833333333333,0.044405594405594405,2992,2665
4,0.02,noma_sic,0.10388888888888889,2.3516666666666666,0.09798611111111111,0.9431818181818182,2.3516666666666666,0.044405594405594405,2992,2822
4,0.05,oma_collision,0.25277777777777777,4.6258333333333335,0.19274305555555554,0.7625,4.6258333333333335,0.1206201550387597,7280,5551
4,0.05,noma_sic,0.25277777777777777,5.3825,0.22427083333333334,0.8872252747252747,5.3825,0.1206201550387597,7280,6459
4,0.08,oma_collision,0.4020138888888889,6.3825,0.2659375,0.6615132147175679,6.3825,0.18316315899145655,11578,7659
4,0.08,noma_sic,0.4020138888888889,8.041666666666666,0.3350694444444444,0.8334772845050958,8.041666666666666,0.18316315899145655,11578,9650
4,0.12,oma_collision,0.6029513888888889,7.75,0.3229166666666667,0.5355600345522603,7.75,0.2699823741282857,17365,9300
4,0.12,noma_sic,0.6029513888888889,10.9625,0.45677083333333335,0.7575583069392456,10.9625,0.2699823741282857,17365,13155
4,0.18,oma_collision,0.9021527777777778,8.610833333333334,0.35878472222222224,0.3976984065891771,8.610833333333334,0.3834061135371179,25982,10333
4,0.18,noma_sic,0.9021527777777778,14.283333333333333,0.5951388888888889,0.659687475944885,14.283333333333333,0.3834061135371179,25982,17140
8,0.02,oma_collision,0.10388888888888889,1.9216666666666666,0.08006944444444444,0.7707219251336899,1.9216666666666666,0.044405594405594405,2992,2306
8,0.02,noma_sic,0.10388888888888889,2.0575,0.08572916666666666,0.8252005347593583,2.0575,0.044405594405594405,2992,2469
8,0.05,oma_collision,0.25277777777777777,3.9675,0.1653125,0.6539835164835165,3.9675,0.1206201550387597,7280,4761
8,0.05,noma_sic,0.25277777777777777,4.8125,0.20052083333333334,0.7932692307692307,4.8125,0.1206201550387597,7280,5775
8,0.08,oma_collision,0.4020138888888889,5.513333333333334,0.22972222222222222,0.5714285714285714,5.513333333333334,0.18316315899145655,11578,6616
8,0.08,noma_sic,0.4020138888888889,7.433333333333334,0.30972222222222223,0.7704266712731042,7.433333333333334,0.18316315899145655,11578,8920
8,0.12,oma_collision,0.6029513888888889,6.715833333333333,0.2798263888888889,0.4640944428448028,6.715833333333333,0.2699823741282857,17365,8059
8,0.12,noma_sic,0.6029513888888889,10.480833333333333,0.4367013888888889,0.7242729628563201,10.480833333333333,0.2699823741282857,17365,12577
8,0.18,oma_collision,0.9021527777777778,7.398333333333333,0.3082638888888889,0.3416980986837041,7.398333333333333,0.3834061135371179,25982,8878
8,0.18,noma_sic,0.9021527777777778,14.5425,0.6059375,0.671657301208529,14.5425,0.3834061135371179,25982,17451
12,0.02,oma_collision,0.10388888888888889,1.7033333333333334,0.07097222222222223,0.6831550802139037,1.7033333333333334,0.044405594405594405,2992,2044
12,0.02,noma_sic,0.10388888888888889,1.8416666666666666,0.07673611111111112,0.7386363636363636,1.8416666666666666,0.044405594405594405,2992,2210
12,0.05,oma_collision,0.25277777777777777,3.5625,0.1484375,0.5872252747252747,3.5625,0.1206201550387597,7280,4275
12,0.05,noma_sic,0.25277777777777777,4.415,0.18395833333333333,0.7277472527472527,4.415,0.1206201550387597,7280,5298
12,0.08,oma_collision,0.4020138888888889,4.906666666666666,0.20444444444444446,0.5085506996026947,4.906666666666666,0.18316315899145655,11578,5888
12,0.08,noma_sic,0.4020138888888889,6.821666666666666,0.28423611111111113,0.7070305752288824,6.821666666666666,0.18316315899145655,11578,8186
12,0.12,oma_collision,0.6029513888888889,5.960833333333333,0.24836805555555555,0.4119205298013245,5.960833333333333,0.2699823741282857,17365,7153
12,0.12,noma_sic,0.6029513888888889,9.718333333333334,0.40493055555555557,0.6715807659084365,9.718333333333334,0.2699823741282857,17365,11662
12,0.18,oma_collision,0.9021527777777778,6.595,0.27479166666666666,0.30459548918482027,6.595,0.3834061135371179,25982,7914
12,0.18,noma_sic,0.9021527777777778,13.944166666666666,0.5810069444444445,0.6440227850050034,13.944166666666666,0.3834061135371179,25982,16733
