snr_db,uncoded_ber,conv_viterbi_ber
0,0.13536666666666666,0.14103333333333334
2,0.0829,0.0376
4,0.038033333333333336,0.0033
6,0.012933333333333333,0.00013333333333333334
8,0.0029333333333333334,0.0
10,0.0002666666666666667,0.0
12,0.0,0.0
