harvest_scale,policy,final_global_loss,participation_jain,outage_slot_fraction,plus_selection_fraction,weakest_gain
0.12,channel,0.3394400220301012,0.897674315561867,0.19409722222222223,0.4950371437855323,0.7239855040785809
0.12,energy_channel,0.33877059082083144,0.8991072965813732,0.19375,0.4966864916894224,0.7197862408874242
0.12,age_energy,0.3382759980079968,0.9024759874077036,0.19618055555555558,0.49209332056339455,0.7192250199300485
0.2,channel,0.3333827240310976,0.9216961056732079,0.051736111111111115,0.5005374849238118,0.6151215650456631
0.2,energy_channel,0.33356182962213143,0.921235385667119,0.051736111111111115,0.4989215603422033,0.6134053289233864
0.2,age_energy,0.3332858865219852,0.9217992565956196,0.05069444444444445,0.49852132171778546,0.6083986229424014
0.3,channel,0.33243664621939345,0.9391277289628944,0.0038194444444444448,0.510982519899572,0.623527913855497
0.3,energy_channel,0.3318545512886129,0.9380469408332598,0.004166666666666667,0.506803682035685,0.627594106313845
0.3,age_energy,0.33129427636292025,0.9387366217149936,0.0038194444444444448,0.5056146022348657,0.5971735360532402
0.4,channel,0.34474199292755553,0.8901869059470925,0.00034722222222222224,0.6097198465929611,0.8248149715895279
0.4,energy_channel,0.344600785458965,0.8992716847752517,0.0,0.5979883756038648,0.8318708868115573
0.4,age_energy,0.33954539902247055,0.9214078784328358,0.0,0.583710058097313,0.7513684441042953
0.55,channel,0.4201046582134675,0.7247155692240815,0.0,0.7842013888888889,1.0374306748484174
0.55,energy_channel,0.4087138331156189,0.7675123358224853,0.0,0.75,1.0247170622764081
0.55,age_energy,0.3686146393319463,0.8657487086395564,0.0,0.6782118055555556,0.8676187772720171
0.7,channel,0.49668225500441204,0.6358106609215493,0.0,0.8678819444444446,1.1582678366631145
0.7,energy_channel,0.4740256608182943,0.6730803128564942,0.0,0.8335069444444444,1.1324382036618936
0.7,age_energy,0.38317776700041356,0.8352511993908817,0.0,0.71328125,0.9186840777181695
