n_tx,mrt_sum_rate,zf_sum_rate,mrt_jain,zf_jain,mean_interuser_corr,channel_hardening_cv
4,4.77942051367732,5.07728317281315,0.9531017103324397,1.0,0.45316333771627,0.500366690208043
8,7.521946434262315,14.145147954934819,0.9647544800988066,1.0,0.31529608362893524,0.3582417550698347
16,10.688748295695559,19.89703534545679,0.9735272973386395,1.0,0.2220253644217525,0.25275714410846883
32,14.142592128857522,24.634727750810818,0.9832305490636657,1.0,0.1586314658159525,0.17410692166334193
64,17.939470875971573,28.961344073078127,0.9871730534501629,1.0,0.11106841045248703,0.1248870526183752
