twin_noise_std,policy,latency_ms,cache_hit_rate,backhaul_mb,wrong_prefetch_fraction,prefetch_attempts
0.1,reactive,14.720690374852381,0.9733333333333334,6976.536002871688,0.0,0.0
0.1,predictive,11.51858998561562,0.9963194444444445,10038.949138244066,0.0,62.125
0.1,uncertainty_gated,11.51858998561562,0.9963194444444445,8958.47236741108,0.0,54.75
0.3,reactive,14.720690374852381,0.9733333333333334,6976.536002871688,0.0,0.0
0.3,predictive,11.603854594728045,0.9956944444444444,18708.5971267074,0.24109812602966862,120.875
0.3,uncertainty_gated,11.528328027737139,0.9962500000000001,8958.47236741108,0.0,54.625
0.5,reactive,14.720690374852381,0.9733333333333334,6976.536002871688,0.0,0.0
0.5,predictive,11.875882161609692,0.9937499999999999,57082.64029351792,0.42110891565761055,379.5
0.5,uncertainty_gated,11.62437388592933,0.9955555555555555,9403.22511822572,0.026383288310466164,56.375
0.8,reactive,14.720690374852381,0.9733333333333334,6976.536002871688,0.0,0.0
0.8,predictive,12.320617467598165,0.9905555555555556,97163.34380493287,0.4563291014959995,646.625
0.8,uncertainty_gated,11.822620956973402,0.9941666666666666,12081.79497873429,0.15414248460858787,71.75
1.2,reactive,14.720690374852381,0.9733333333333334,6976.536002871688,0.0,0.0
1.2,predictive,12.617070533037325,0.9884027777777777,117485.7634374298,0.4658904159271675,782.875
1.2,uncertainty_gated,12.125786903515763,0.9919444444444445,16156.329875542502,0.2712600805135935,95.875
1.8,reactive,14.720690374852381,0.9733333333333334,6976.536002871688,0.0,0.0
1.8,predictive,12.837852475811538,0.9868055555555555,127213.37386406212,0.47022926452575803,846.875
1.8,uncertainty_gated,12.539706990564374,0.9889583333333334,20110.96767401447,0.33675048844155253,117.0
