snr_db,raw_accuracy,task_accuracy,raw_reconstruction_mse,task_reconstruction_mse,raw_channel_uses,task_channel_uses
-5,0.8138666666666666,0.6835333333333333,3.948442297747607,1.9417878792864713,16,1
0,0.9082,0.7916666666666666,1.2432531161648877,1.2440539834807274,16,1
5,0.9562,0.8912,0.3983236765175902,1.0398481805071884,16,1
10,0.9708,0.9498666666666666,0.1246822843933368,0.9715759215063939,16,1
15,0.9748,0.9665333333333334,0.03961245555023418,0.9505878869002246,16,1
20,0.9776666666666667,0.976,0.01244026847862134,0.940088486416339,16,1
