budget_per_task,policy,protected_miss_rate,masked_fraction_of_base_failures,resilience_credits_per_task,mean_outcome_debt,mean_radio_debt,mean_edge_debt
0.2,outcome_only,0.2432857142857143,0.08062075290664213,0.1980657142857202,0.08619976383967742,0.0,0.0
0.2,component_telemetry,0.24366666666666667,0.07917772605609126,0.19845142857143447,0.0,0.0750371536375583,0.059771963941162
0.4,outcome_only,0.22647619047619047,0.1441619829508303,0.3566295238095145,0.07221520825977566,0.0,0.0
0.4,component_telemetry,0.22542857142857142,0.14808669322861823,0.3649914285714167,0.0,0.0750371536375583,0.059771963941162
0.6,outcome_only,0.21033333333333334,0.20517300512232972,0.46900952380948197,0.0569420388888339,0.0,0.0
0.6,component_telemetry,0.21033333333333334,0.20515669614033252,0.49194571428566564,0.0,0.0750371536375583,0.059771963941162
0.9,outcome_only,0.19490476190476191,0.2634882671832193,0.6078942857142297,0.042122327016122785,0.0,0.0
0.9,component_telemetry,0.19123809523809523,0.2773436624307927,0.6477066666666224,0.0,0.0750371536375583,0.059771963941162
1.2,outcome_only,0.18923809523809523,0.28490318210370524,0.6654095238094923,0.036624433699829685,0.0,0.0
1.2,component_telemetry,0.1823809523809524,0.31081787871564,0.7303638095238001,0.0,0.0750371536375583,0.059771963941162
1.6,outcome_only,0.18923809523809523,0.28490318210370524,0.6654095238094923,0.036624433699829685,0.0,0.0
1.6,component_telemetry,0.1823809523809524,0.31081787871564,0.730416190476181,0.0,0.0750371536375583,0.059771963941162
